Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
15:04:40:327,0.000,-0.139,-0.037,-0.083,-0.772,76.963,-0.265
15:04:40:353,0.026,0.007,-0.027,-0.060,-0.505,76.462,1.263
15:04:40:379,0.052,0.088,0.038,-0.013,-0.300,75.936,2.402
15:04:40:405,0.078,0.112,0.114,-0.050,0.069,74.939,4.157
15:04:40:431,0.104,0.081,0.171,-0.272,0.625,73.835,6.093
15:04:40:457,0.130,-0.066,0.201,-0.430,1.245,73.326,7.750
15:04:40:484,0.157,0.004,0.544,-0.589,2.866,73.121,11.219
15:04:40:511,0.184,0.048,0.550,-0.702,4.582,73.268,14.210
15:04:40:536,0.210,-0.025,0.513,-1.480,8.416,73.434,19.646
15:04:40:621,0.294,-0.180,0.225,-2.684,11.959,73.565,24.275
15:04:40:622,0.295,-0.675,0.025,-2.342,18.192,74.425,32.124
15:04:40:622,0.295,-0.410,-0.789,-1.471,24.753,78.585,43.276
15:04:40:641,0.314,-0.444,-0.225,-1.016,27.770,80.960,47.745
15:04:40:669,0.342,-0.901,-0.680,-0.700,30.077,85.224,49.896
15:04:40:694,0.367,-0.336,-1.320,-0.855,27.428,86.293,47.688
15:04:40:81,0.483,-0.195,-1.205,-0.616,25.110,88.419,42.467
15:04:40:81,0.483,-0.701,-0.704,-0.308,20.644,90.659,35.514
15:04:40:81,0.483,-0.707,-0.807,-0.354,17.375,92.344,29.283
15:04:40:81,0.483,-0.859,-0.333,-0.318,11.853,95.631,19.450
15:04:40:826,0.499,-1.219,0.032,0.212,8.075,98.555,12.702
15:04:40:852,0.525,-1.183,0.450,0.537,2.424,102.932,1.734
15:04:40:879,0.552,-0.654,1.386,1.279,-1.197,105.597,-5.931
15:04:40:904,0.578,-0.008,1.531,2.243,-6.688,110.375,-17.078
15:04:40:936,0.609,1.407,0.090,3.288,-12.297,114.846,-25.879
15:04:40:936,0.609,1.976,-0.863,2.753,-16.171,115.782,-28.938
15:04:40:958,0.631,2.319,0.498,2.367,-19.086,114.265,-28.347
15:04:41:009,0.682,1.108,0.760,-1.051,-17.181,113.904,-24.059
15:04:41:038,0.711,1.690,-0.147,1.946,-12.711,116.362,-17.885
15:04:41:039,0.712,-0.198,-0.161,0.527,-10.789,119.353,-12.151
15:04:41:092,0.766,0.617,0.021,0.547,-10.812,121.156,-8.857
15:04:41:092,0.766,0.298,-0.231,0.335,-9.850,122.308,-5.781
15:04:41:114,0.787,0.285,0.172,0.036,-9.541,121.601,-3.970
15:04:41:199,0.872,0.140,0.109,-0.232,-9.207,119.156,-1.673
15:04:41:199,0.872,-0.002,-0.013,-0.101,-9.457,117.844,0.177
15:04:41:2,0.873,-0.124,0.063,0.112,-9.911,117.701,1.020
15:04:41:219,0.892,-0.141,0.093,0.154,-9.958,117.150,1.954
15:04:41:245,0.918,-0.067,0.197,0.007,-9.692,115.942,2.770
15:04:41:301,0.974,-0.125,0.147,-0.078,-9.191,113.460,4.528
15:04:41:302,0.975,0.076,-0.065,-0.204,-8.708,111.907,5.886
15:04:41:324,0.997,0.069,0.076,-0.287,-7.953,110.045,8.249
15:04:41:35,1.023,-0.145,0.045,-0.309,-6.883,108.867,11.164
15:04:41:376,1.049,-0.246,0.285,-0.346,-5.995,108.636,13.606
15:04:41:403,1.076,-0.143,0.468,-0.694,-4.397,108.657,17.984
15:04:41:458,1.132,-0.544,0.375,-0.974,-2.835,108.787,21.347
15:04:41:458,1.132,-0.983,0.256,-1.251,0.150,109.140,27.294
15:04:41:482,1.155,-1.570,0.075,-1.814,5.480,108.670,34.370
15:04:41:51,1.183,-1.657,1.055,-2.080,11.203,107.468,40.352
15:04:41:535,1.208,-0.683,-0.414,-0.458,21.421,106.918,50.396
15:04:41:591,1.264,-0.726,-0.297,-0.337,27.342,106.440,53.643
15:04:41:591,1.264,-0.953,-1.436,-0.894,29.543,105.573,53.831
15:04:41:612,1.285,-0.066,-1.225,-0.393,26.723,104.749,51.050
15:04:41:639,1.312,-0.092,-1.066,-0.486,21.678,103.220,44.452
15:04:41:668,1.341,-0.227,-0.895,-0.423,15.952,101.418,36.537
15:04:41:72,1.393,-0.249,-0.788,-0.612,11.553,100.428,30.219
15:04:41:721,1.394,-0.317,-0.334,-0.622,4.219,100.175,20.205
15:04:41:773,1.446,-0.306,0.046,-0.687,-0.400,101.133,13.148
15:04:41:774,1.447,-0.072,1.016,-0.179,-6.953,104.421,1.616
15:04:41:797,1.470,0.871,1.427,0.732,-12.577,109.439,-10.746
15:04:41:822,1.495,1.375,1.490,2.144,-15.809,113.215,-18.598
15:04:41:878,1.551,1.938,-0.657,3.207,-19.046,119.427,-27.525
15:04:41:879,1.552,2.452,-0.958,3.037,-20.158,122.117,-30.558
15:04:41:93,1.603,1.769,-0.552,1.541,-20.843,120.304,-28.006
15:04:41:931,1.604,2.213,0.582,1.654,-18.688,118.894,-23.119
15:04:41:985,1.658,0.946,0.921,1.016,-16.117,117.758,-15.806
15:04:41:985,1.658,0.636,-0.836,1.448,-13.587,118.047,-10.065
15:04:42:089,1.762,0.349,-0.045,-0.063,-13.451,118.979,-7.440
15:04:42:09,1.763,0.320,0.261,0.198,-13.167,119.570,-5.422
15:04:42:114,1.787,0.196,0.103,-0.108,-13.024,118.886,-4.083
15:04:42:174,1.847,0.036,-0.033,-0.139,-12.843,117.574,-2.543
15:04:42:174,1.847,0.010,0.035,-0.042,-13.081,116.987,-1.428
15:04:42:175,1.848,-0.206,0.105,0.139,-13.144,116.557,-0.835
15:04:42:175,1.848,-0.170,0.039,0.008,-12.670,115.019,0.490
15:04:42:19,1.863,-0.095,0.008,-0.111,-12.299,113.669,1.590
15:04:42:275,1.948,-0.091,0.032,-0.094,-11.714,111.308,3.680
15:04:42:275,1.948,0.077,0.172,-0.270,-10.838,108.913,6.122
15:04:42:276,1.949,0.169,0.081,-0.325,-10.073,107.537,7.903
15:04:42:295,1.968,-0.019,0.217,-0.385,-8.723,106.377,11.023
15:04:42:322,1.995,-0.049,0.483,-0.618,-7.722,106.072,13.530
15:04:42:405,2.079,-0.165,0.542,-0.770,-5.871,105.970,18.029
15:04:42:406,2.080,-0.652,0.524,-1.218,-4.032,105.978,21.515
15:04:42:407,2.081,-0.951,0.358,-1.701,0.014,105.742,27.707
15:04:42:456,2.129,-1.305,0.445,-1.891,6.639,104.674,35.264
15:04:42:456,2.129,-2.115,0.429,-1.984,11.703,104.752,41.983
15:04:42:511,2.184,-0.886,-0.305,-0.773,18.906,107.283,51.110
15:04:42:511,2.184,-0.876,-0.047,0.147,24.342,107.431,54.021
15:04:42:531,2.204,-0.562,-1.405,-0.438,25.031,107.361,53.126
15:04:42:557,2.230,-0.072,-1.362,-0.430,23.974,106.733,49.965
15:04:42:673,2.346,-0.033,-1.354,-0.078,22.046,105.831,44.291
15:04:42:673,2.346,-0.203,-1.048,-0.465,17.217,104.630,35.698
15:04:42:673,2.346,-0.235,-0.786,-0.502,13.106,104.077,29.423
15:04:42:674,2.347,-0.389,-0.419,-0.596,6.609,104.551,19.295
15:04:42:689,2.362,-0.447,0.250,-0.565,2.425,106.159,12.039
15:04:42:744,2.417,-0.252,0.899,-0.128,-3.398,110.509,-0.001
15:04:42:745,2.418,0.770,1.832,1.186,-8.004,116.594,-12.865
15:04:42:767,2.440,1.267,1.842,2.211,-9.952,121.247,-20.766
15:04:42:794,2.467,2.455,-0.683,3.352,-10.847,129.319,-28.129
15:04:42:851,2.524,3.188,-0.977,2.319,-10.976,131.938,-29.227
15:04:42:851,2.524,-2.157,1.488,0.210,-9.120,131.278,-24.196
15:04:42:873,2.546,1.964,1.117,1.571,-6.953,130.621,-17.000
15:04:42:901,2.574,-0.112,-0.372,0.673,-6.761,130.325,-11.753
15:04:42:926,2.599,0.213,-0.388,-0.275,-5.369,129.400,-6.251
15:04:43:011,2.684,0.137,-0.002,-0.105,-5.373,128.932,-4.146
15:04:43:011,2.684,0.067,0.273,-0.064,-5.430,128.207,-1.769
15:04:43:012,2.685,0.126,0.027,0.028,-5.256,128.329,-0.431
15:04:43:032,2.705,0.133,0.010,0.141,-5.033,128.257,0.163
15:04:43:057,2.730,-0.016,0.259,-0.090,-4.460,127.485,0.719
15:04:43:143,2.816,-0.085,0.208,-0.093,-4.066,126.496,1.095
15:04:43:144,2.817,-0.249,0.015,0.028,-3.406,124.861,2.133
15:04:43:145,2.818,-0.124,-0.062,0.145,-2.924,123.772,3.136
15:04:43:146,2.819,-0.067,-0.052,0.011,-2.028,122.236,4.776
15:04:43:163,2.836,-0.016,0.013,-0.451,-0.769,120.707,6.709
15:04:43:245,2.918,-0.059,0.167,-0.478,0.248,120.126,8.370
15:04:43:245,2.918,-0.340,0.381,-0.435,2.047,120.288,11.614
15:04:43:267,2.940,-0.575,0.549,-0.582,3.521,120.828,14.354
15:04:43:295,2.968,-1.191,0.479,-0.994,6.770,122.044,19.392
15:04:43:296,2.969,-2.128,0.189,-1.395,11.738,122.827,25.693
15:04:43:349,3.023,-2.228,0.855,-1.139,16.286,122.823,30.668
15:04:43:349,3.023,-0.994,-0.251,-0.251,24.548,124.898,40.815
15:04:43:371,3.044,-0.387,-0.789,0.049,28.496,126.927,45.031
15:04:43:398,3.071,-1.479,-1.214,-0.564,31.436,131.093,48.016
15:04:43:424,3.097,-0.729,-1.235,-0.124,28.791,133.855,46.586
15:04:43:48,3.153,-0.593,-1.202,-0.032,25.534,137.879,41.715
15:04:43:48,3.153,-0.687,-0.763,0.541,22.215,141.499,35.597
15:04:43:503,3.176,-0.674,-0.779,0.539,19.515,143.714,30.265
15:04:43:529,3.202,-0.713,-0.451,0.669,15.012,147.218,20.650
15:04:43:609,3.282,-0.590,-0.203,1.250,11.533,150.078,13.889
15:04:43:639,3.312,-0.135,0.363,1.360,5.953,154.338,2.988
15:04:43:639,3.312,0.689,1.145,1.320,0.194,158.569,-8.563
15:04:43:666,3.339,1.732,1.834,1.552,-3.395,162.414,-16.265
15:04:43:666,3.339,3.083,-0.119,0.670,-8.099,170.275,-25.382
15:04:43:717,3.390,3.639,-0.320,-0.426,-10.839,175.265,-28.850
15:04:43:717,3.391,2.186,-0.270,-1.817,-11.613,-179.289,-28.972
15:04:43:739,3.412,1.619,0.223,-0.985,-8.145,-176.139,-25.285
15:04:43:765,3.438,3.806,0.753,-0.977,-4.279,-171.524,-19.251
15:04:43:792,3.465,0.708,-1.065,0.494,-3.721,-169.473,-12.866
15:04:43:818,3.491,0.783,-0.483,0.970,-3.586,-168.334,-9.315
15:04:43:873,3.546,-0.103,-0.146,-0.611,-2.690,-168.387,-6.474
15:04:43:874,3.547,-0.294,0.343,-0.233,-2.692,-168.793,-4.775
15:04:43:896,3.569,-0.113,0.083,0.022,-2.893,-169.783,-2.878
15:04:43:922,3.596,0.074,-0.007,0.003,-2.656,-169.885,-1.376
15:04:43:98,3.653,0.007,0.092,-0.030,-2.350,-170.063,-0.562
15:04:43:98,3.653,-0.126,0.282,-0.081,-2.129,-170.695,0.644
15:04:44:032,3.705,-0.098,0.110,0.027,-1.853,-171.345,1.696
15:04:44:033,3.706,0.065,-0.029,0.200,-1.170,-172.191,3.789
15:04:44:055,3.728,0.031,0.115,0.116,-0.404,-173.062,5.943
15:04:44:081,3.754,-0.161,0.074,-0.065,0.230,-173.920,7.396
15:04:44:106,3.780,-0.485,0.166,-0.138,1.428,-175.154,9.921
15:04:44:133,3.806,-0.620,0.310,-0.049,2.495,-175.560,12.108
15:04:44:217,3.890,-0.701,0.378,0.253,4.514,-175.280,16.135
15:04:44:218,3.891,-1.149,0.247,0.758,6.239,-174.846,19.093
15:04:44:219,3.892,-1.357,0.129,0.876,9.799,-174.241,24.384
15:04:44:266,3.939,-1.514,0.670,1.132,15.703,-173.884,31.249
15:04:44:351,4.024,-1.817,-0.155,1.370,21.303,-173.239,38.051
15:04:44:352,4.025,-0.447,0.686,1.319,29.207,-173.111,45.875
15:04:44:353,4.026,-0.193,-0.086,0.215,34.165,-172.917,49.074
15:04:44:354,4.027,-0.495,-1.141,0.444,32.251,-170.515,49.263
15:04:44:397,4.070,-0.293,-1.059,0.224,27.553,-167.646,45.424
15:04:44:453,4.126,-0.268,-0.952,0.263,24.010,-167.079,41.383
15:04:44:454,4.127,-0.388,-0.805,0.292,18.251,-166.777,34.053
15:04:44:455,4.128,-0.353,-0.652,0.269,14.424,-166.433,28.353
15:04:44:532,4.205,-0.535,-0.373,0.449,8.646,-165.356,18.619
15:04:44:533,4.206,-0.346,0.152,0.515,4.617,-163.803,11.672
15:04:44:534,4.207,-0.104,0.611,0.540,-0.992,-158.920,0.650
15:04:44:553,4.226,0.993,1.670,0.129,-5.798,-151.457,-11.683
15:04:44:579,4.252,2.166,1.817,-0.752,-8.326,-145.546,-19.895
