Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
17:05:34:192,0.000,0.003,0.199,0.052,2.194,-2.523,73.772
17:05:34:193,0.001,-0.004,0.119,0.084,-4.883,-0.397,71.935
17:05:34:216,0.024,-0.065,0.064,-0.011,-5.944,0.728,70.648
17:05:34:271,0.079,-0.111,0.086,-0.044,-6.979,1.958,69.271
17:05:34:272,0.080,-0.145,0.080,-0.049,-7.782,2.580,68.465
17:05:34:295,0.102,-0.165,0.061,-0.029,-7.709,2.687,68.030
17:05:34:321,0.128,-0.159,0.082,-0.004,-7.203,2.377,67.683
17:05:34:347,0.155,-0.132,0.039,0.006,-6.491,1.918,67.576
17:05:34:373,0.181,-0.112,0.037,0.006,-5.357,1.038,67.508
17:05:34:401,0.209,-0.092,0.029,-0.001,-4.530,0.061,67.556
17:05:34:488,0.296,-0.077,0.005,-0.002,-4.072,-0.600,67.641
17:05:34:488,0.296,-0.058,0.000,0.006,-3.431,-1.604,67.798
17:05:34:488,0.296,-0.041,-0.005,0.023,-3.011,-2.276,67.922
17:05:34:489,0.297,-0.043,-0.007,0.029,-2.466,-3.211,68.109
17:05:34:531,0.338,-0.040,-0.015,0.026,-1.937,-4.043,68.425
17:05:34:561,0.369,-0.042,-0.007,0.041,-1.508,-4.532,68.690
17:05:34:561,0.369,-0.038,0.002,0.075,-0.816,-5.193,69.047
17:05:34:612,0.420,-0.037,-0.011,0.059,-0.227,-5.491,69.371
17:05:34:613,0.421,-0.047,0.069,0.000,0.248,-5.724,70.057
17:05:34:637,0.445,-0.035,0.134,0.001,0.076,-5.668,70.581
17:05:34:691,0.499,0.025,0.189,0.004,-0.273,-5.394,71.482
17:05:34:692,0.499,0.047,0.188,0.067,-0.902,-4.706,72.657
17:05:34:744,0.551,0.054,0.167,0.096,-1.273,-4.278,73.719
17:05:34:744,0.552,0.050,0.181,0.082,-1.036,-3.677,75.637
17:05:34:767,0.575,0.047,0.169,0.099,-0.061,-3.411,77.165
17:05:34:823,0.631,0.044,0.168,0.110,2.660,-2.927,79.880
17:05:34:823,0.631,0.012,0.215,0.070,8.459,-2.216,83.197
