Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:12:58:615,0.000,0.005,-0.020,0.009,-9.405,0.534,-4.865
19:12:58:616,0.000,-0.002,-0.019,0.005,-9.433,0.558,-4.888
19:12:58:638,0.023,0.007,-0.013,-0.005,-9.451,0.550,-4.905
19:12:58:661,0.046,0.009,-0.023,0.011,-9.472,0.574,-4.935
19:12:58:688,0.073,0.006,-0.018,0.000,-9.494,0.591,-4.964
19:12:58:714,0.099,0.002,-0.021,0.000,-9.508,0.593,-4.978
19:12:58:77,0.155,0.003,-0.019,-0.003,-9.533,0.600,-5.003
19:12:58:77,0.155,0.009,-0.015,0.010,-9.548,0.595,-5.024
19:12:58:793,0.177,0.004,-0.016,0.000,-9.579,0.600,-5.028
19:12:58:819,0.204,0.005,-0.022,0.005,-9.621,0.602,-5.027
19:12:58:845,0.230,0.004,-0.015,-0.002,-9.643,0.603,-5.028
19:12:58:871,0.256,0.002,-0.018,0.009,-9.682,0.587,-5.030
19:12:58:897,0.282,0.010,-0.022,0.006,-9.718,0.560,-5.020
19:12:58:926,0.311,0.001,-0.017,0.005,-9.769,0.534,-5.018
19:12:58:952,0.337,-0.002,-0.015,0.000,-9.797,0.521,-5.016
19:12:58:978,0.362,0.000,-0.021,0.008,-9.849,0.489,-5.034
19:12:59:005,0.390,0.004,-0.021,0.005,-9.901,0.452,-5.059
19:12:59:058,0.443,0.004,-0.016,0.008,-9.930,0.427,-5.085
19:12:59:059,0.444,0.003,-0.013,0.003,-9.976,0.397,-5.117
19:12:59:11,0.495,0.004,-0.017,0.006,-10.008,0.382,-5.133
19:12:59:111,0.496,0.000,-0.018,-0.003,-10.067,0.351,-5.158
19:12:59:135,0.520,-0.005,-0.024,0.002,-10.122,0.325,-5.194
19:12:59:162,0.546,0.001,-0.014,0.000,-10.159,0.302,-5.227
19:12:59:187,0.572,0.003,-0.018,0.003,-10.200,0.306,-5.294
19:12:59:213,0.598,0.005,-0.019,0.006,-10.233,0.301,-5.339
19:12:59:269,0.654,0.006,-0.019,0.004,-10.285,0.294,-5.394
19:12:59:269,0.654,0.003,-0.017,0.013,-10.325,0.296,-5.440
19:12:59:291,0.676,0.001,-0.016,0.006,-10.373,0.302,-5.514
19:12:59:318,0.703,0.006,-0.020,0.002,-10.426,0.289,-5.583
19:12:59:344,0.729,0.005,-0.016,0.001,-10.463,0.281,-5.631
19:12:59:37,0.755,0.004,-0.025,-0.002,-10.514,0.290,-5.702
19:12:59:425,0.810,0.007,-0.016,-0.006,-10.555,0.286,-5.747
19:12:59:426,0.811,0.006,-0.018,0.000,-10.610,0.292,-5.821
19:12:59:449,0.834,-0.006,-0.025,-0.003,-10.667,0.262,-5.892
19:12:59:475,0.860,-0.016,0.002,0.012,-10.709,0.251,-5.943
19:12:59:532,0.917,0.018,-0.039,-0.012,-10.769,0.234,-6.033
19:12:59:532,0.917,0.002,-0.024,0.015,-10.853,0.204,-6.075
19:12:59:584,0.969,0.015,-0.033,0.008,-10.998,0.105,-6.103
19:12:59:584,0.969,0.002,-0.021,0.002,-11.083,0.036,-6.107
19:12:59:606,0.991,-0.003,-0.019,0.008,-11.183,-0.031,-6.124
19:12:59:633,1.018,-0.002,-0.026,0.007,-11.259,-0.130,-6.195
19:12:59:659,1.044,-0.001,-0.029,0.006,-11.255,-0.187,-6.291
19:12:59:685,1.070,-0.040,-0.020,-0.029,-11.164,-0.219,-6.599
