Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:28:12:938,0.000,-0.298,-0.042,0.250,-6.934,-12.789,-21.854
14:28:13:331,0.393,0.223,-0.106,0.207,-7.298,-13.271,-20.303
14:28:13:909,0.971,-0.326,0.104,-0.127,-7.916,-12.428,-18.253
14:28:14:411,1.473,-0.087,0.168,-0.085,-8.386,-11.843,-16.814
14:28:14:412,1.474,-0.160,-0.029,-0.106,-8.957,-10.856,-15.428
14:28:14:513,1.575,-0.014,0.035,-0.063,-10.111,-11.249,-12.309
14:28:14:779,1.841,0.025,0.021,-0.125,-10.250,-11.357,-11.643
14:28:14:779,1.841,-0.041,0.027,-0.168,-10.312,-11.423,-10.689
14:28:14:881,1.943,0.020,0.056,-0.017,-10.289,-11.563,-10.098
14:28:15:144,2.206,-0.001,0.028,0.020,-9.703,-11.329,-6.635
14:28:15:354,2.416,0.220,0.255,0.094,-0.301,-15.218,6.254
14:28:15:484,2.546,0.180,0.171,0.074,1.176,-14.705,8.522
14:28:15:591,2.652,0.109,0.085,0.235,2.111,-13.914,10.031
14:28:15:863,2.925,-0.009,-0.124,0.297,3.410,-12.211,12.016
14:28:15:863,2.925,0.127,-0.288,-0.116,4.602,2.224,12.169
14:28:15:863,2.925,-0.099,-0.060,-0.060,4.613,3.556,10.289
14:28:15:864,2.926,-0.594,0.422,-0.118,4.353,5.632,7.484
14:28:16:245,3.307,-1.306,0.588,0.053,4.003,7.254,6.262
14:28:16:35,3.412,-0.005,0.041,0.002,-4.895,12.869,1.462
14:28:16:831,3.893,-0.001,0.045,-0.003,-4.992,12.879,1.466
14:28:16:832,3.894,0.006,0.051,-0.003,-5.057,12.879,1.466
14:28:16:833,3.895,-0.005,0.047,-0.003,-5.147,12.863,1.467
14:28:16:833,3.895,-0.002,0.039,-0.001,-6.298,12.346,1.080
14:28:17:7,4.762,0.000,0.043,0.000,-5.869,12.265,1.005
14:28:17:7,4.762,-0.002,0.048,-0.012,-5.461,11.978,1.151
14:28:17:7,4.762,-0.002,0.046,-0.009,-5.045,11.993,1.439
14:28:17:7,4.762,0.001,0.043,-0.001,-5.000,11.993,1.436
14:28:17:795,4.857,-0.004,0.042,-0.004,-4.806,11.987,1.481
14:28:18:558,5.620,-0.003,0.045,0.002,-4.628,11.960,1.564
14:28:18:56,5.622,-0.002,0.045,-0.008,-4.618,11.950,1.566
14:28:19:275,6.337,-0.002,0.043,0.004,-4.618,11.887,1.639
14:28:19:275,6.337,0.000,0.040,-0.003,-4.684,11.926,1.542
14:28:19:275,6.337,0.002,0.048,-0.007,-4.491,12.032,1.282
14:28:19:276,6.338,0.001,0.049,0.000,-4.490,12.053,1.116
14:28:19:343,6.405,-0.006,0.045,0.003,-4.490,12.108,1.139
14:28:19:375,6.437,-0.001,0.041,0.005,-4.633,12.111,1.027
14:28:19:376,6.437,-0.001,0.043,-0.009,-4.658,12.116,1.028
14:28:19:377,6.438,-0.003,0.046,-0.002,-4.670,12.121,1.041
14:28:19:395,6.457,-0.002,0.044,-0.002,-4.671,12.125,1.075
14:28:19:615,6.677,-0.005,0.044,-0.002,-5.566,12.227,1.184
14:28:19:616,6.678,-0.003,0.043,0.004,-5.696,12.256,1.213
14:28:19:617,6.679,-0.003,0.043,0.002,-6.154,12.217,1.164
