Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:34:46:969,0,0.004,0.27,-0.196,-3.698,3.142,-7.067
14:34:46:998,0.028,0.275,0.082,0.006,-4.271,1.849,-6.541
14:34:47:023,0.054,0.121,-0.095,0.023,-4.619,1.222,-5.776
14:34:47:048,0.079,0.13,0.044,0.01,-4.714,1.049,-4.926
14:34:47:074,0.105,-0.052,0.001,0.002,-4.892,1.408,-3.32
14:34:47:103,0.134,-0.057,-0.041,0.05,-5.136,1.425,-2.183
14:34:47:104,0.135,-0.025,-0.108,0.018,-5.632,0.948,-0.413
14:34:47:128,0.159,0.026,0.012,0.031,-6.328,-0.068,1.314
14:34:47:154,0.185,0.085,0.004,0.042,-6.793,-0.351,2.346
14:34:47:18,0.211,-0.077,-0.017,-0.054,-7.379,-0.42,3.646
14:34:47:206,0.237,-0.096,-0.001,-0.045,-7.727,-0.325,4.347
14:34:47:232,0.263,-0.024,-0.023,-0.04,-8.155,-0.59,5.205
14:34:47:343,0.373,0.003,-0.008,0.027,-8.606,-0.34,6.07
14:34:47:343,0.374,0.002,0.017,0.022,-8.839,-0.165,6.397
14:34:47:344,0.375,0.025,-0.012,0.018,-8.97,-0.14,6.612
14:34:47:363,0.394,-0.008,0.008,-0.022,-9.167,0.259,6.905
14:34:47:389,0.42,-0.018,-0.007,-0.001,-9.269,0.38,7.062
14:34:47:415,0.446,0.006,-0.005,-0.006,-9.349,0.624,7.174
14:34:47:443,0.474,-0.011,-0.003,-0.007,-9.369,0.806,7.172
14:34:47:468,0.499,-0.011,-0.005,-0.026,-9.364,1.116,7.12
14:34:47:494,0.525,0.005,0.012,-0.019,-9.327,1.203,7.02
14:34:47:521,0.551,0.014,-0.006,0,-9.249,1.219,6.96
14:34:47:548,0.579,0.018,0,0.016,-9.138,1.223,6.887
14:34:47:574,0.605,-0.019,0.005,-0.027,-9.042,1.208,6.822
14:34:47:599,0.63,-0.005,0.004,-0.036,-8.855,1.083,6.688
14:34:47:626,0.657,0.003,0.005,-0.013,-8.574,1.046,6.484
14:34:47:652,0.682,-0.005,-0.003,-0.004,-8.369,1.043,6.291
14:34:47:678,0.709,0.018,-0.017,0.001,-8.026,1.095,5.946
14:34:47:705,0.735,0.023,-0.013,0.005,-7.817,1.17,5.724
14:34:47:731,0.761,0.035,-0.016,0.019,-7.546,1.306,5.444
14:34:47:757,0.788,0.008,-0.01,0.01,-7.309,1.446,5.227
14:34:47:783,0.813,0.013,0,-0.006,-7.168,1.508,5.106
14:34:47:809,0.84,0.012,-0.011,0.015,-6.952,1.641,4.953
14:34:47:865,0.895,-0.001,-0.005,0.009,-6.821,1.687,4.851
14:34:47:866,0.896,0.016,-0.005,0.008,-6.654,1.661,4.72
14:34:47:888,0.919,0.021,-0.01,0.011,-6.542,1.626,4.65
14:34:47:916,0.946,0.012,0.001,0.01,-6.387,1.623,4.552
14:34:47:941,0.972,0.012,-0.001,0.005,-6.255,1.638,4.481
14:34:47:967,0.997,0.013,-0.009,0.013,-6.164,1.701,4.423
14:34:47:993,1.024,0.014,-0.001,-0.002,-6.064,1.762,4.331
14:34:48:02,1.051,0.017,-0.007,0.007,-6.004,1.872,4.272
14:34:48:046,1.076,0.007,-0.009,-0.001,-5.92,1.962,4.222
14:34:48:073,1.104,0.009,-0.003,-0.001,-5.85,2.009,4.217
14:34:48:098,1.129,0.014,-0.003,0.006,-5.815,2.032,4.215
14:34:48:124,1.155,0.004,-0.012,0.013,-5.753,2.175,4.203
14:34:48:15,1.181,0.005,0,-0.001,-5.732,2.169,4.198
14:34:48:177,1.208,0.017,-0.005,0.003,-5.7,2.151,4.178
14:34:48:203,1.234,0.016,-0.012,0.006,-5.69,2.152,4.161
14:34:48:23,1.26,0.015,-0.011,0.012,-5.683,2.193,4.146
14:34:48:255,1.286,0.021,-0.007,0.01,-5.67,2.241,4.13
14:34:48:283,1.314,0.015,-0.001,-0.001,-5.675,2.345,4.136
14:34:48:308,1.339,0.018,-0.004,0.003,-5.684,2.469,4.156
14:34:48:334,1.365,0.013,-0.01,0,-5.688,2.622,4.173
14:34:48:361,1.391,0.006,-0.004,0,-5.708,2.79,4.232
14:34:48:387,1.418,0.008,0.009,-0.005,-5.743,2.924,4.307
14:34:48:413,1.444,0.011,-0.002,0.004,-5.756,3.014,4.355
14:34:48:44,1.47,-0.013,0.002,-0.013,-5.765,3.185,4.422
14:34:48:466,1.497,-0.007,0.01,-0.012,-5.794,3.257,4.45
14:34:48:494,1.524,-0.001,-0.001,-0.01,-5.799,3.313,4.469
14:34:48:519,1.55,-0.011,0,-0.004,-5.809,3.363,4.461
14:34:48:544,1.575,0.003,0.001,-0.007,-5.81,3.361,4.436
14:34:48:571,1.602,0.005,0.002,0.001,-5.786,3.351,4.381
14:34:48:626,1.657,0.005,0.001,0,-5.768,3.351,4.345
14:34:48:627,1.657,0.008,0,0.003,-5.75,3.348,4.291
14:34:48:649,1.68,0.005,-0.001,-0.003,-5.731,3.332,4.263
14:34:48:676,1.707,0.005,-0.004,0,-5.709,3.326,4.212
14:34:48:702,1.733,0.002,0,-0.006,-5.671,3.305,4.166
14:34:48:728,1.759,0.004,0.001,0,-5.646,3.29,4.129
14:34:48:755,1.785,-0.001,-0.002,-0.003,-5.599,3.266,4.077
14:34:48:78,1.811,0.006,0.006,-0.001,-5.568,3.238,4.032
14:34:48:836,1.867,0.01,-0.003,-0.005,-5.514,3.205,3.962
14:34:48:836,1.867,0.008,-0.001,0.001,-5.476,3.212,3.921
14:34:48:861,1.891,0.007,0.004,0.001,-5.429,3.211,3.867
14:34:48:886,1.917,0.005,-0.006,-0.004,-5.374,3.213,3.809
14:34:48:912,1.943,0.006,0.003,0,-5.338,3.216,3.772
14:34:48:938,1.969,0.003,0,0,-5.278,3.21,3.734
14:34:48:964,1.995,0.017,-0.004,0.003,-5.242,3.194,3.716
14:34:48:992,2.023,0.011,-0.005,0.008,-5.192,3.182,3.713
14:34:49:017,2.048,0.006,0.007,-0.004,-5.149,3.177,3.711
14:34:49:043,2.074,0.009,0,0.001,-5.116,3.168,3.715
14:34:49:1,2.131,0.003,-0.002,0.001,-5.067,3.192,3.71
14:34:49:1,2.131,0,0.001,-0.009,-5.027,3.196,3.712
14:34:49:122,2.153,0.005,0.003,-0.004,-4.974,3.2,3.693
14:34:49:148,2.179,0.006,-0.001,0,-4.924,3.218,3.659
14:34:49:174,2.205,0.009,-0.005,0.005,-4.886,3.22,3.637
14:34:49:201,2.232,0.008,0.003,-0.003,-4.848,3.228,3.596
14:34:49:227,2.258,0.008,-0.001,-0.001,-4.827,3.227,3.573
14:34:49:253,2.284,0.007,0,-0.007,-4.8,3.228,3.567
14:34:49:28,2.31,0.01,-0.001,0.006,-4.792,3.228,3.573
14:34:49:308,2.339,0.007,0.001,-0.005,-4.786,3.227,3.6
14:34:49:309,2.34,0.008,-0.001,0,-4.79,3.228,3.633
14:34:49:361,2.392,0.006,0,-0.005,-4.784,3.227,3.661
14:34:49:361,2.392,0.001,-0.003,0.003,-4.792,3.225,3.691
14:34:49:384,2.415,0.009,0.001,-0.004,-4.787,3.214,3.694
14:34:49:44,2.471,0,0,-0.003,-4.787,3.214,3.694
14:34:49:44,2.471,0.009,0,0,-4.789,3.196,3.699
14:34:49:492,2.523,0.006,-0.003,-0.001,-4.785,3.185,3.702
14:34:49:493,2.524,0.007,0.002,-0.004,-4.806,3.149,3.701
14:34:49:517,2.548,0.004,0.001,0,-4.812,3.12,3.704
14:34:49:542,2.573,0.007,0.002,0.002,-4.84,3.065,3.717
14:34:49:569,2.6,0.002,0,-0.005,-4.85,3.038,3.717
14:34:49:595,2.625,0.007,0.002,-0.004,-4.88,2.99,3.722
14:34:49:621,2.652,0.009,0,0.002,-4.904,2.949,3.726
14:34:49:647,2.678,0.006,-0.001,-0.002,-4.91,2.942,3.728
14:34:49:703,2.734,0.002,0,-0.001,-4.932,2.942,3.725
14:34:49:703,2.734,0.009,-0.002,0.001,-4.946,2.941,3.728
14:34:49:726,2.756,0.004,-0.001,0,-4.954,2.941,3.723
14:34:49:752,2.783,0.005,0.002,-0.001,-4.979,2.936,3.725
14:34:49:778,2.809,0.008,-0.002,0.004,-4.991,2.942,3.735
14:34:49:804,2.835,0.005,0,0.001,-5.007,2.94,3.76
14:34:49:831,2.862,0.007,0.001,-0.007,-5.021,2.935,3.781
14:34:49:857,2.888,0.006,0,-0.003,-5.045,2.933,3.801
14:34:49:883,2.914,0.004,0.001,-0.008,-5.069,2.935,3.81
14:34:49:909,2.94,0.006,-0.001,0.004,-5.086,2.931,3.81
14:34:49:938,2.969,0.007,0.002,-0.007,-5.11,2.933,3.819
14:34:49:991,3.022,0.004,0.002,-0.001,-5.128,2.943,3.819
14:34:49:992,3.023,0,-0.001,-0.007,-5.131,2.947,3.823
14:34:50:015,3.046,0.006,0.002,0,-5.138,2.945,3.824
14:34:50:041,3.071,0.006,0,-0.009,-5.16,2.945,3.822
14:34:50:067,3.098,0,0,0,-5.162,2.949,3.826
14:34:50:095,3.125,0.001,0.001,-0.01,-5.167,2.931,3.817
14:34:50:119,3.15,0.01,-0.001,0,-5.163,2.903,3.803
14:34:50:147,3.178,0.008,0,-0.002,-5.162,2.906,3.792
14:34:50:173,3.203,0.006,-0.001,-0.004,-5.177,2.907,3.788
14:34:50:198,3.229,0.006,0,-0.005,-5.197,2.888,3.776
