Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:28:12:864,0.000,0.046,-0.010,0.050,10.936,-23.358,12.247
14:28:12:864,0.000,0.055,-0.006,0.026,10.985,-23.698,12.261
14:28:12:887,0.023,0.043,-0.016,0.018,10.993,-24.042,12.272
14:28:12:971,0.107,0.027,-0.023,0.000,10.949,-24.161,12.211
14:28:12:972,0.108,0.018,-0.017,0.005,10.904,-24.287,12.123
14:28:12:973,0.109,0.003,-0.002,0.002,10.803,-24.210,12.006
14:28:12:992,0.128,-0.004,0.000,0.005,10.721,-24.011,11.957
14:28:13:047,0.184,-0.009,0.001,-0.002,10.604,-23.696,11.926
14:28:13:048,0.184,-0.014,0.003,0.007,10.530,-23.468,11.935
14:28:13:071,0.207,-0.011,0.005,0.014,10.428,-23.202,11.975
14:28:13:098,0.234,-0.019,-0.003,0.029,10.362,-23.022,12.021
14:28:13:152,0.288,-0.021,-0.006,0.028,10.337,-22.927,12.045
14:28:13:152,0.289,-0.021,-0.001,0.028,10.340,-22.843,12.082
14:28:13:176,0.313,-0.021,0.008,0.023,10.325,-22.777,12.080
14:28:13:231,0.367,-0.026,0.008,0.013,10.318,-22.691,12.062
14:28:13:232,0.368,-0.025,0.007,0.007,10.290,-22.602,12.043
14:28:13:256,0.392,-0.026,0.006,0.002,10.276,-22.589,12.034
14:28:13:281,0.418,-0.025,0.006,0.003,10.260,-22.632,12.044
14:28:13:337,0.473,-0.017,-0.008,0.001,10.265,-22.704,12.048
14:28:13:337,0.474,-0.017,-0.013,0.010,10.275,-22.882,12.040
14:28:13:359,0.496,-0.003,0.002,-0.002,10.278,-23.093,12.046
14:28:13:417,0.554,-0.003,0.007,0.002,10.277,-23.228,12.050
14:28:13:418,0.555,-0.006,-0.005,0.004,10.268,-23.438,12.026
14:28:13:419,0.555,-0.005,-0.004,0.008,10.251,-23.532,12.014
14:28:13:525,0.662,-0.004,-0.009,0.003,10.233,-23.726,11.985
14:28:13:526,0.662,-0.007,-0.010,0.014,10.226,-23.833,11.980
14:28:13:527,0.663,0.001,-0.005,0.006,10.211,-24.056,11.979
14:28:13:528,0.664,-0.001,-0.001,0.009,10.193,-24.180,11.963
14:28:13:574,0.710,0.003,-0.004,0.003,10.178,-24.245,11.961
14:28:13:574,0.710,-0.001,0.006,0.007,10.155,-24.322,11.965
14:28:13:595,0.732,-0.005,0.002,0.005,10.138,-24.338,11.973
14:28:13:651,0.787,-0.002,-0.004,0.013,10.136,-24.421,11.983
14:28:13:651,0.788,0.004,-0.008,0.011,10.137,-24.419,12.014
14:28:13:675,0.812,0.003,-0.009,0.017,10.138,-24.342,12.045
14:28:13:701,0.838,0.006,-0.014,0.005,10.124,-24.222,12.096
14:28:13:785,0.921,-0.001,-0.013,0.001,10.109,-24.110,12.120
14:28:13:785,0.922,-0.010,-0.015,-0.010,10.076,-23.951,12.133
14:28:13:786,0.923,-0.011,-0.018,-0.014,10.046,-23.871,12.123
14:28:13:835,0.971,-0.018,-0.019,-0.016,9.971,-23.841,12.075
14:28:13:836,0.972,-0.036,0.010,-0.001,9.852,-23.775,12.043
14:28:13:858,0.994,-0.031,0.005,0.010,9.776,-23.733,12.033
14:28:13:884,1.021,-0.046,0.032,0.018,9.699,-23.595,12.091
14:28:13:939,1.076,-0.051,0.034,0.017,9.647,-23.485,12.143
14:28:13:94,1.077,-0.053,0.021,0.014,9.666,-23.421,12.277
14:28:13:963,1.099,0.003,0.010,0.022,9.794,-23.615,12.443
14:28:14:02,1.156,0.010,0.006,0.015,9.889,-23.765,12.581
14:28:14:02,1.156,0.029,-0.011,0.013,10.056,-23.945,12.833
14:28:14:042,1.178,0.029,-0.008,0.000,10.134,-23.968,12.980
14:28:14:068,1.205,0.025,-0.015,0.005,10.208,-23.911,13.209
14:28:14:123,1.260,0.042,-0.023,0.000,10.257,-23.811,13.399
14:28:14:124,1.260,0.036,-0.009,0.001,10.267,-23.734,13.468
14:28:14:148,1.284,0.037,-0.011,0.003,10.252,-23.564,13.542
14:28:14:174,1.310,0.027,-0.005,0.016,10.231,-23.402,13.560
14:28:14:199,1.335,0.020,0.007,0.013,10.195,-23.117,13.558
14:28:14:226,1.362,0.002,0.012,0.027,10.178,-22.885,13.545
14:28:14:251,1.388,-0.011,0.013,0.017,10.162,-22.435,13.533
14:28:14:308,1.444,-0.022,0.011,0.010,10.161,-22.039,13.526
14:28:14:308,1.444,-0.010,-0.006,-0.001,10.171,-21.838,13.523
14:28:14:33,1.467,-0.019,-0.009,0.001,10.162,-21.583,13.532
14:28:14:357,1.493,-0.004,-0.002,-0.005,10.175,-21.484,13.549
14:28:14:383,1.520,-0.016,-0.002,-0.002,10.198,-21.411,13.524
14:28:14:411,1.547,-0.015,0.000,0.003,10.207,-21.290,13.496
14:28:14:436,1.572,-0.017,0.003,0.008,10.212,-21.178,13.486
14:28:14:491,1.628,-0.029,0.009,0.006,10.223,-20.917,13.497
14:28:14:492,1.629,-0.036,0.004,0.016,10.251,-20.778,13.509
14:28:14:543,1.680,-0.029,0.002,0.001,10.325,-20.738,13.489
14:28:14:544,1.681,-0.023,0.003,0.001,10.409,-20.872,13.419
14:28:14:568,1.704,-0.033,0.006,-0.009,10.457,-21.055,13.339
14:28:14:622,1.758,-0.020,-0.001,0.000,10.538,-21.569,13.171
14:28:14:623,1.759,-0.014,-0.024,0.006,10.585,-21.989,13.014
14:28:14:675,1.812,-0.004,-0.018,0.006,10.639,-22.551,12.799
14:28:14:675,1.812,-0.004,0.006,-0.005,10.668,-22.870,12.701
14:28:14:698,1.834,0.003,0.008,-0.002,10.752,-23.383,12.597
14:28:14:724,1.861,0.034,0.004,0.003,10.885,-23.978,12.565
14:28:14:751,1.887,0.059,-0.007,0.008,10.963,-24.327,12.583
14:28:14:806,1.942,0.065,-0.015,0.017,11.049,-24.592,12.639
14:28:14:807,1.943,0.046,-0.017,0.014,11.040,-24.552,12.678
14:28:14:858,1.995,0.003,-0.003,0.002,10.946,-24.252,12.582
14:28:14:859,1.995,-0.002,-0.022,0.012,10.812,-23.974,12.593
14:28:14:911,2.047,-0.036,0.005,-0.001,10.727,-23.757,12.619
14:28:14:912,2.048,-0.021,0.003,-0.012,10.654,-23.566,12.665
14:28:14:934,2.071,-0.031,0.008,-0.013,10.640,-23.479,12.759
14:28:14:961,2.097,-0.002,0.002,-0.010,10.656,-23.394,12.957
14:28:14:987,2.123,0.006,0.010,0.002,10.665,-23.321,13.105
14:28:15:013,2.149,0.010,0.007,0.002,10.680,-23.171,13.321
14:28:15:039,2.176,0.007,0.004,0.012,10.689,-23.022,13.499
14:28:15:094,2.231,0.017,-0.008,0.006,10.715,-22.960,13.593
14:28:15:095,2.232,0.024,-0.009,0.003,10.753,-22.886,13.700
14:28:15:176,2.313,0.029,0.009,-0.011,10.744,-22.808,13.758
14:28:15:177,2.313,0.017,0.024,-0.005,10.693,-22.682,13.799
14:28:15:178,2.314,0.010,0.006,0.015,10.687,-22.636,13.715
14:28:15:226,2.362,-0.001,0.000,0.022,10.695,-22.676,13.593
14:28:15:227,2.363,-0.002,-0.008,0.022,10.723,-22.735,13.392
14:28:15:279,2.415,0.005,-0.006,0.021,10.747,-22.763,13.303
14:28:15:279,2.415,0.018,-0.002,0.001,10.761,-22.698,13.223
14:28:15:302,2.438,0.030,0.014,-0.007,10.766,-22.500,13.151
14:28:15:328,2.464,0.068,0.012,-0.006,10.747,-22.338,13.078
14:28:15:354,2.490,0.067,0.033,-0.004,10.739,-21.926,12.993
14:28:15:41,2.546,0.084,0.039,0.005,10.760,-21.516,12.886
14:28:15:411,2.547,0.037,0.035,0.038,10.661,-20.624,12.450
14:28:15:433,2.569,-0.066,-0.008,0.058,10.458,-19.613,11.917
14:28:15:459,2.595,-0.105,-0.036,0.037,10.247,-19.213,11.463
14:28:15:515,2.651,-0.107,-0.126,0.012,9.947,-19.298,10.746
14:28:15:516,2.652,-0.038,-0.080,-0.036,9.851,-19.822,10.222
14:28:15:539,2.675,-0.011,-0.003,-0.048,9.885,-20.862,9.339
14:28:15:564,2.701,-0.003,0.057,-0.063,9.856,-21.294,8.913
14:28:15:591,2.727,0.007,0.075,-0.056,9.775,-21.491,8.574
14:28:15:617,2.753,-0.044,0.036,-0.066,9.640,-21.277,8.643
14:28:15:643,2.780,-0.030,0.020,-0.020,9.581,-21.286,8.820
14:28:15:698,2.835,-0.004,0.000,0.051,9.586,-21.668,9.120
14:28:15:699,2.836,0.012,0.006,0.083,9.687,-22.101,9.222
14:28:15:725,2.861,0.033,0.000,0.062,9.856,-22.634,9.248
14:28:15:726,2.862,0.004,-0.001,0.028,9.883,-22.642,9.283
14:28:15:777,2.913,-0.022,0.011,-0.014,9.874,-22.353,9.296
14:28:15:778,2.914,-0.036,-0.012,-0.032,9.897,-21.836,9.259
14:28:15:829,2.966,-0.028,-0.024,-0.037,9.949,-21.549,9.236
14:28:15:83,2.967,-0.017,-0.041,-0.022,10.020,-21.231,9.314
14:28:15:883,3.020,0.006,-0.019,0.020,10.066,-21.019,9.402
14:28:15:883,3.020,0.011,-0.006,0.019,10.106,-20.464,9.644
14:28:15:906,3.042,-0.006,-0.010,0.000,10.139,-19.510,9.920
14:28:15:961,3.097,-0.031,-0.003,-0.001,10.166,-18.827,10.059
14:28:15:962,3.098,-0.030,0.001,-0.013,10.197,-18.010,10.196
14:28:15:985,3.122,-0.032,0.005,-0.015,10.208,-17.616,10.270
14:28:16:011,3.147,-0.026,-0.011,-0.017,10.216,-17.305,10.363
14:28:16:066,3.202,-0.016,0.025,-0.016,10.236,-17.205,10.458
14:28:16:067,3.203,-0.004,0.016,-0.013,10.266,-17.175,10.521
14:28:16:091,3.227,-0.006,0.009,-0.005,10.319,-17.055,10.684
14:28:16:145,3.281,-0.007,0.004,-0.007,10.352,-16.923,10.841
14:28:16:145,3.281,-0.007,-0.004,0.000,10.388,-16.730,11.097
14:28:16:168,3.304,0.006,-0.004,0.003,10.436,-16.611,11.359
14:28:16:194,3.331,0.012,-0.008,0.005,10.480,-16.558,11.527
14:28:16:25,3.386,0.019,-0.009,0.012,10.519,-16.531,11.731
14:28:16:25,3.387,0.026,-0.004,0.010,10.534,-16.548,11.841
14:28:16:303,3.439,0.018,-0.001,0.018,10.558,-16.600,11.918
14:28:16:303,3.440,0.016,-0.003,0.008,10.579,-16.645,11.915
14:28:16:325,3.462,0.010,-0.001,0.012,10.583,-16.678,11.865
14:28:16:352,3.488,0.001,0.003,0.000,10.567,-16.605,11.820
14:28:16:378,3.514,-0.006,0.009,0.004,10.567,-16.516,11.805
14:28:16:406,3.542,-0.009,0.004,-0.006,10.567,-16.337,11.802
14:28:16:431,3.568,-0.013,-0.002,0.000,10.572,-16.239,11.817
14:28:16:487,3.623,-0.013,-0.007,-0.005,10.580,-16.106,11.875
14:28:16:487,3.623,-0.012,-0.011,0.007,10.562,-15.980,11.958
14:28:16:509,3.646,-0.010,-0.006,0.000,10.543,-15.922,12.011
14:28:16:566,3.703,-0.010,-0.010,0.010,10.505,-15.872,12.071
14:28:16:567,3.703,-0.011,0.003,0.005,10.476,-15.873,12.091
14:28:16:588,3.724,-0.010,0.014,0.006,10.424,-15.887,12.083
14:28:16:614,3.750,-0.020,0.011,0.002,10.379,-15.916,12.062
14:28:16:67,3.806,-0.020,0.006,0.007,10.370,-15.978,12.055
14:28:16:67,3.806,-0.008,-0.003,-0.001,10.371,-16.123,12.063
14:28:16:694,3.830,-0.001,-0.005,0.002,10.372,-16.229,12.081
14:28:16:748,3.885,0.006,-0.003,-0.001,10.353,-16.387,12.117
14:28:16:749,3.885,0.008,0.000,0.000,10.331,-16.507,12.124
14:28:16:773,3.909,0.009,-0.005,0.003,10.298,-16.705,12.101
14:28:16:8,3.936,-0.003,0.001,0.003,10.250,-16.869,12.040
14:28:16:854,3.990,-0.005,0.001,-0.001,10.213,-16.985,11.999
14:28:16:854,3.990,-0.017,0.006,0.004,10.182,-17.181,11.941
14:28:16:932,4.069,-0.015,-0.002,0.003,10.178,-17.585,11.878
14:28:16:933,4.069,-0.002,-0.004,0.003,10.178,-17.883,11.845
14:28:16:956,4.093,-0.004,-0.003,-0.004,10.173,-18.068,11.820
14:28:16:982,4.118,-0.004,-0.002,-0.008,10.152,-18.333,11.779
14:28:17:037,4.173,-0.008,0.001,-0.020,10.131,-18.511,11.748
14:28:17:038,4.174,-0.014,-0.010,-0.012,10.087,-18.804,11.700
14:28:17:061,4.197,-0.004,-0.003,-0.030,10.043,-19.141,11.658
14:28:17:116,4.252,-0.014,-0.002,-0.033,9.987,-19.380,11.634
14:28:17:117,4.253,-0.018,-0.007,-0.033,9.901,-19.787,11.604
14:28:17:139,4.275,-0.017,0.000,-0.028,9.837,-20.126,11.555
14:28:17:166,4.303,0.000,0.008,-0.037,9.720,-20.696,11.491
14:28:17:221,4.357,-0.009,0.012,0.026,9.675,-21.094,11.386
14:28:17:223,4.359,-0.006,0.004,0.016,9.659,-21.636,11.202
14:28:17:245,4.382,-0.014,0.001,0.000,9.623,-22.079,11.008
14:28:17:3,4.436,-0.001,0.007,0.021,9.599,-22.378,10.876
14:28:17:3,4.437,-0.014,-0.002,-0.003,9.546,-22.639,10.709
14:28:17:324,4.460,-0.028,-0.016,-0.023,9.531,-22.675,10.595
14:28:17:349,4.486,-0.073,-0.013,0.005,9.492,-22.609,10.380
14:28:17:378,4.514,-0.090,0.010,0.021,9.496,-22.645,10.175
14:28:17:402,4.538,-0.103,0.020,0.022,9.518,-22.765,10.013
14:28:17:429,4.565,-0.114,0.009,0.031,9.610,-23.035,9.754
14:28:17:484,4.621,-0.125,0.002,0.030,9.978,-23.236,9.951
