Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:55:48:872,0.000,-0.632,-0.573,-0.250,91.874,-4.575,-91.781
14:55:48:96,0.088,-0.671,-0.433,-0.361,82.158,-7.014,-84.587
14:55:48:961,0.089,-0.691,0.016,-0.638,65.971,-11.558,-77.303
14:55:48:961,0.089,-0.682,0.030,-0.631,52.693,-15.513,-72.228
14:55:48:962,0.090,-0.551,0.199,-0.789,34.064,-22.709,-64.109
14:55:48:977,0.105,-0.550,0.350,-0.900,24.718,-28.160,-58.279
14:55:49:089,0.217,-0.398,0.566,-0.975,14.119,-38.030,-48.990
14:55:49:089,0.217,-0.179,0.945,-0.977,9.074,-46.073,-42.500
14:55:49:09,0.218,0.226,1.258,-0.686,4.916,-60.202,-32.570
14:55:49:164,0.293,0.622,1.308,-0.144,5.038,-75.139,-23.123
14:55:49:165,0.294,0.687,1.127,0.120,6.795,-84.499,-17.772
14:55:49:379,0.508,0.589,0.841,0.584,11.090,-96.445,-11.627
14:55:49:38,0.509,0.546,0.512,0.582,14.530,-102.168,-8.661
14:55:49:381,0.510,0.577,0.364,0.585,19.328,-107.098,-5.327
14:55:49:382,0.510,0.571,0.167,0.596,23.122,-108.396,-2.292
14:55:49:404,0.532,0.597,0.015,0.598,25.098,-108.258,-0.427
14:55:49:404,0.532,0.548,-0.161,0.650,27.517,-107.733,2.032
14:55:49:405,0.533,0.539,-0.347,0.655,28.929,-107.927,3.319
14:55:49:45,0.579,0.504,-0.426,0.727,30.947,-109.891,4.222
14:55:49:482,0.610,0.400,-0.531,0.733,32.815,-113.268,4.356
14:55:49:482,0.610,0.319,-0.577,0.743,33.881,-115.878,4.278
14:55:49:483,0.611,0.138,-0.638,0.793,35.115,-119.297,4.509
14:55:49:561,0.689,0.071,-0.606,0.912,35.611,-120.837,5.090
14:55:49:561,0.689,0.053,-0.532,1.081,35.644,-121.222,6.969
14:55:49:584,0.713,0.167,-0.481,0.887,32.672,-117.927,10.065
14:55:49:585,0.714,0.171,-0.174,0.761,28.585,-115.523,9.651
14:55:49:614,0.742,0.100,-0.104,0.623,25.309,-113.957,8.289
14:55:49:614,0.742,0.136,0.029,0.635,20.179,-112.354,4.617
14:55:49:614,0.742,0.205,0.294,0.713,15.088,-111.154,-0.147
14:55:49:853,0.981,0.182,0.519,0.747,11.772,-110.045,-3.578
14:55:49:853,0.981,0.161,0.876,0.546,7.187,-106.473,-8.706
14:55:49:854,0.982,0.097,1.087,0.278,4.759,-102.213,-12.123
14:55:49:855,0.983,0.054,0.935,-0.039,3.145,-92.248,-17.214
14:55:49:931,1.059,0.149,0.963,-0.690,4.828,-82.047,-23.550
14:55:49:932,1.060,-0.039,0.660,-0.343,6.422,-77.788,-27.563
14:55:49:933,1.061,-0.116,0.349,-0.704,10.024,-71.695,-33.715
14:55:49:948,1.077,-0.156,-0.022,-0.769,17.261,-66.049,-43.697
14:55:49:984,1.112,-0.113,-0.250,-0.790,19.598,-65.535,-47.887
14:55:49:985,1.113,-0.110,-0.395,-0.740,21.741,-65.919,-54.075
14:55:49:985,1.113,-0.150,-0.584,-0.628,22.221,-66.704,-59.644
14:55:50:003,1.131,-0.178,-0.677,-0.481,19.579,-67.430,-66.323
14:55:50:004,1.132,-0.136,-0.666,-0.432,17.768,-67.570,-67.918
14:55:50:267,1.396,-0.084,-0.635,-0.442,14.887,-67.832,-69.293
