Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
19:17:01:385,0.000,-0.075,-0.018,-0.006,11.948,-13.409,-14.673
19:17:01:386,0.001,-0.067,-0.046,-0.020,11.962,-13.330,-14.711
19:17:01:387,0.001,-0.047,-0.041,-0.016,11.894,-13.610,-14.795
19:17:01:388,0.002,-0.037,-0.031,-0.022,11.820,-13.903,-14.856
19:17:01:457,0.072,-0.029,-0.026,-0.011,11.747,-14.302,-14.913
19:17:01:493,0.107,-0.024,-0.027,-0.015,11.707,-14.475,-14.842
19:17:01:493,0.107,-0.023,-0.024,-0.012,11.696,-14.470,-14.711
19:17:01:493,0.108,-0.026,-0.021,-0.016,11.659,-14.473,-14.398
19:17:01:493,0.108,-0.028,-0.007,-0.006,11.621,-14.517,-14.143
19:17:01:541,0.155,-0.024,-0.003,-0.014,11.562,-14.779,-13.791
19:17:01:542,0.156,-0.001,-0.002,0.012,11.540,-15.122,-13.636
19:17:01:542,0.157,0.015,-0.008,0.030,11.520,-15.686,-13.477
19:17:01:649,0.263,0.016,-0.007,0.014,11.469,-16.031,-13.333
19:17:01:649,0.264,0.015,-0.010,0.005,11.451,-16.244,-13.230
19:17:01:65,0.264,0.019,-0.015,0.003,11.431,-16.617,-13.068
19:17:01:651,0.265,0.032,-0.019,0.012,11.437,-16.913,-12.966
19:17:01:675,0.290,0.035,-0.015,0.011,11.455,-17.309,-12.837
19:17:01:676,0.291,0.036,-0.002,-0.002,11.463,-17.572,-12.702
19:17:01:677,0.291,0.034,-0.010,-0.006,11.461,-17.653,-12.611
19:17:01:678,0.292,0.039,-0.010,0.009,11.462,-17.810,-12.523
19:17:01:75,0.364,0.042,-0.012,0.001,11.460,-17.902,-12.498
19:17:01:75,0.364,0.033,-0.008,-0.003,11.422,-17.978,-12.492
19:17:01:832,0.447,0.041,-0.017,0.005,11.389,-18.111,-12.552
19:17:01:833,0.447,0.039,-0.015,0.015,11.371,-18.178,-12.627
19:17:01:833,0.448,0.029,-0.019,-0.001,11.374,-18.211,-12.751
19:17:01:834,0.448,0.013,-0.021,0.000,11.396,-18.104,-12.807
19:17:01:911,0.525,0.013,-0.013,-0.011,11.409,-18.002,-12.923
19:17:01:911,0.526,0.015,-0.010,0.001,11.381,-17.969,-13.071
19:17:01:912,0.527,0.016,-0.008,-0.007,11.360,-17.906,-13.171
19:17:01:913,0.527,-0.006,-0.009,-0.003,11.353,-17.797,-13.288
19:17:01:989,0.604,-0.004,-0.008,0.004,11.352,-17.700,-13.372
19:17:01:99,0.605,-0.004,0.002,0.013,11.336,-17.585,-13.493
19:17:01:991,0.606,-0.002,-0.015,0.024,11.338,-17.431,-13.556
19:17:02:095,0.710,0.000,0.000,0.015,11.398,-17.172,-13.560
19:17:02:096,0.711,0.012,-0.002,0.023,11.446,-17.159,-13.565
19:17:02:097,0.711,0.016,-0.008,0.011,11.535,-16.968,-13.555
19:17:02:098,0.712,0.006,-0.018,-0.009,11.593,-16.771,-13.529
19:17:02:174,0.788,-0.001,-0.021,-0.023,11.690,-16.333,-13.507
19:17:02:174,0.789,-0.001,-0.021,-0.015,11.768,-15.965,-13.590
19:17:02:175,0.790,-0.003,-0.018,-0.017,11.811,-15.727,-13.669
19:17:02:196,0.811,-0.018,-0.016,-0.031,11.757,-14.936,-13.909
19:17:02:196,0.811,-0.022,-0.016,-0.021,11.687,-14.708,-13.971
19:17:02:246,0.861,-0.026,-0.010,-0.008,11.563,-14.379,-14.053
19:17:02:247,0.862,-0.035,-0.012,0.002,11.508,-14.171,-14.100
19:17:02:332,0.947,-0.042,-0.013,0.014,11.483,-13.868,-14.069
19:17:02:332,0.947,-0.048,-0.010,0.025,11.524,-13.710,-13.991
19:17:02:332,0.947,-0.032,-0.006,0.029,11.613,-13.770,-13.886
19:17:02:333,0.947,0.002,-0.014,0.010,11.608,-14.042,-13.850
19:17:02:374,0.989,0.000,-0.017,0.000,11.596,-14.162,-13.808
19:17:02:43,1.045,0.005,-0.014,-0.015,11.595,-14.247,-13.702
19:17:02:431,1.045,-0.002,-0.012,-0.022,11.583,-14.237,-13.629
19:17:02:452,1.067,0.004,-0.025,-0.018,11.558,-14.235,-13.492
19:17:02:593,1.207,0.008,-0.022,-0.008,11.500,-14.327,-13.376
19:17:02:594,1.208,0.007,-0.001,-0.011,11.436,-14.409,-13.323
19:17:02:594,1.209,0.019,0.004,0.021,11.368,-14.658,-13.293
19:17:02:639,1.254,0.028,-0.002,0.028,11.327,-15.098,-13.371
19:17:02:64,1.255,0.028,-0.006,0.010,11.345,-15.142,-13.433
19:17:02:69,1.305,0.017,-0.012,0.006,11.380,-15.043,-13.461
19:17:02:777,1.391,-0.003,-0.014,-0.012,11.417,-14.815,-13.440
19:17:02:778,1.392,-0.007,-0.017,-0.009,11.431,-14.686,-13.437
19:17:02:778,1.393,-0.005,-0.014,-0.005,11.447,-14.601,-13.425
19:17:02:779,1.394,-0.008,-0.010,0.003,11.447,-14.563,-13.396
19:17:02:829,1.443,-0.005,-0.015,0.007,11.444,-14.554,-13.360
19:17:02:829,1.444,0.004,-0.013,0.008,11.439,-14.614,-13.321
19:17:02:83,1.445,0.012,-0.007,0.008,11.423,-14.671,-13.305
19:17:02:85,1.465,0.009,-0.006,0.003,11.418,-14.685,-13.256
19:17:02:872,1.487,0.014,-0.010,0.012,11.417,-14.694,-13.247
19:17:02:929,1.543,0.015,-0.024,0.015,11.423,-14.692,-13.263
19:17:02:929,1.544,0.014,-0.017,0.007,11.433,-14.680,-13.287
19:17:03:01,1.624,0.006,-0.010,0.008,11.460,-14.607,-13.322
19:17:03:01,1.625,0.004,-0.007,-0.007,11.495,-14.480,-13.322
19:17:03:011,1.626,0.007,-0.019,0.014,11.510,-14.396,-13.309
19:17:03:03,1.645,0.001,-0.009,-0.007,11.535,-14.271,-13.283
19:17:03:056,1.671,0.000,-0.003,0.002,11.549,-14.187,-13.281
19:17:03:083,1.697,0.008,-0.014,0.001,11.585,-14.054,-13.265
19:17:03:138,1.752,0.007,-0.015,0.008,11.600,-13.970,-13.252
19:17:03:139,1.753,0.011,-0.013,-0.002,11.637,-13.831,-13.231
19:17:03:161,1.776,0.004,-0.010,0.002,11.680,-13.639,-13.209
19:17:03:275,1.890,0.004,-0.012,-0.005,11.709,-13.510,-13.197
19:17:03:276,1.890,0.002,-0.014,-0.002,11.727,-13.334,-13.219
19:17:03:276,1.891,0.002,-0.015,-0.009,11.740,-13.223,-13.244
19:17:03:277,1.892,-0.003,-0.014,0.000,11.759,-13.080,-13.290
19:17:03:294,1.908,-0.005,-0.013,-0.007,11.776,-12.926,-13.335
19:17:03:348,1.963,-0.009,-0.007,-0.002,11.777,-12.817,-13.353
19:17:03:348,1.963,-0.010,-0.015,0.001,11.789,-12.660,-13.367
19:17:03:371,1.986,-0.014,-0.013,0.001,11.807,-12.556,-13.352
19:17:03:398,2.013,-0.015,-0.014,-0.006,11.837,-12.424,-13.310
19:17:03:453,2.067,-0.013,-0.013,-0.003,11.849,-12.372,-13.275
19:17:03:537,2.152,-0.007,-0.012,-0.008,11.839,-12.373,-13.250
19:17:03:538,2.153,-0.002,-0.017,-0.002,11.823,-12.433,-13.220
19:17:03:539,2.153,0.000,-0.013,0.002,11.823,-12.476,-13.199
19:17:03:54,2.155,0.003,-0.009,-0.011,11.822,-12.539,-13.172
19:17:03:555,2.170,-0.001,-0.003,-0.009,11.803,-12.578,-13.139
19:17:03:611,2.225,0.001,-0.006,0.001,11.800,-12.606,-13.122
19:17:03:611,2.226,-0.006,-0.003,-0.009,11.784,-12.661,-13.097
19:17:03:634,2.248,-0.002,-0.010,-0.009,11.773,-12.725,-13.088
19:17:03:718,2.333,0.004,-0.021,0.003,11.782,-12.912,-13.104
19:17:03:719,2.334,0.009,-0.018,0.000,11.780,-13.115,-13.126
19:17:03:72,2.335,0.006,-0.011,0.002,11.775,-13.214,-13.116
19:17:03:739,2.353,0.006,-0.008,-0.005,11.790,-13.233,-13.045
19:17:03:793,2.407,0.005,-0.005,0.006,11.809,-13.223,-12.971
19:17:03:881,2.495,0.014,-0.005,0.008,11.819,-13.161,-12.845
19:17:03:881,2.496,0.018,-0.015,0.016,11.849,-13.005,-12.716
19:17:03:881,2.496,0.012,-0.026,0.002,11.891,-12.871,-12.634
19:17:03:882,2.497,0.005,-0.020,-0.004,11.938,-12.687,-12.549
19:17:03:896,2.511,0.012,-0.007,-0.005,11.952,-12.610,-12.517
19:17:03:952,2.566,0.002,-0.002,0.001,11.990,-12.442,-12.491
19:17:03:953,2.567,0.012,-0.013,0.013,12.003,-12.371,-12.475
19:17:03:975,2.589,0.014,-0.016,0.024,12.025,-12.350,-12.489
19:17:04:003,2.618,0.018,-0.009,0.016,12.089,-12.140,-12.511
19:17:04:086,2.701,0.013,-0.011,0.013,12.142,-11.877,-12.481
19:17:04:087,2.702,0.006,-0.016,0.002,12.206,-11.414,-12.394
19:17:04:088,2.703,0.009,-0.020,0.007,12.242,-11.127,-12.340
19:17:04:163,2.777,0.008,-0.018,0.005,12.291,-10.657,-12.256
19:17:04:163,2.778,0.000,-0.008,-0.002,12.329,-10.144,-12.192
19:17:04:246,2.861,-0.006,-0.019,0.004,12.366,-9.829,-12.154
19:17:04:247,2.861,-0.015,-0.012,-0.002,12.415,-9.404,-12.115
19:17:04:248,2.862,-0.017,-0.003,-0.001,12.435,-9.160,-12.104
19:17:04:249,2.863,-0.013,-0.010,0.006,12.468,-8.841,-12.081
19:17:04:265,2.879,-0.018,-0.014,0.000,12.499,-8.534,-12.033
19:17:04:319,2.934,-0.019,-0.013,0.002,12.528,-8.346,-11.979
19:17:04:32,2.935,-0.017,-0.010,-0.001,12.562,-8.103,-11.913
19:17:04:344,2.959,-0.011,-0.008,-0.007,12.576,-8.001,-11.883
19:17:04:398,3.013,-0.009,-0.010,0.002,12.594,-7.868,-11.839
19:17:04:399,3.014,-0.014,-0.009,-0.009,12.610,-7.756,-11.807
19:17:04:421,3.036,-0.010,-0.002,-0.002,12.612,-7.741,-11.801
19:17:04:507,3.122,0.000,-0.006,-0.004,12.612,-7.735,-11.795
19:17:04:508,3.122,-0.004,-0.008,0.001,12.616,-7.695,-11.791
19:17:04:508,3.122,-0.020,0.007,-0.012,12.635,-7.603,-11.752
19:17:04:527,3.142,-0.014,0.001,-0.006,12.655,-7.645,-11.702
19:17:04:581,3.196,-0.006,-0.001,-0.008,12.662,-7.775,-11.697
19:17:04:582,3.197,0.004,0.001,0.004,12.657,-8.033,-11.730
19:17:04:666,3.281,-0.001,0.018,-0.003,12.638,-8.180,-11.761
19:17:04:667,3.281,0.000,0.016,-0.002,12.615,-8.420,-11.787
19:17:04:668,3.282,0.034,-0.002,0.006,12.583,-8.835,-11.817
19:17:04:668,3.283,0.049,-0.033,0.017,12.558,-9.078,-11.773
19:17:04:685,3.299,0.051,-0.033,0.007,12.497,-9.224,-11.606
19:17:04:71,3.325,0.053,-0.041,-0.001,12.468,-9.197,-11.437
19:17:04:765,3.380,0.103,-0.074,0.022,12.471,-9.211,-11.324
19:17:04:766,3.381,0.086,-0.098,0.004,12.471,-8.811,-10.905
19:17:04:816,3.431,0.082,-0.089,-0.003,12.429,-8.288,-10.545
19:17:04:844,3.459,0.109,-0.083,-0.020,12.299,-7.335,-10.012
19:17:04:845,3.459,0.062,-0.064,-0.007,12.105,-6.587,-10.038
19:17:04:897,3.512,0.059,-0.039,0.004,11.907,-5.400,-9.774
19:17:04:897,3.512,0.073,0.038,0.024,11.739,-4.715,-9.660
19:17:04:978,3.593,0.046,0.088,0.034,11.429,-3.751,-9.604
19:17:04:979,3.594,0.030,0.084,0.073,11.207,-2.770,-9.657
19:17:04:98,3.594,-0.055,0.024,0.140,11.257,-2.188,-9.736
19:17:04:999,3.614,-0.051,0.019,0.144,11.466,-1.697,-9.792
19:17:05:025,3.640,-0.018,-0.029,0.098,11.598,-1.705,-9.816
19:17:05:052,3.667,0.019,-0.045,0.058,11.605,-2.184,-9.803
19:17:05:077,3.692,0.033,-0.038,0.030,11.517,-3.303,-9.794
19:17:05:134,3.748,0.047,-0.026,0.041,11.453,-4.076,-9.746
19:17:05:134,3.748,0.070,0.000,0.027,11.420,-5.103,-9.558
19:17:05:156,3.771,0.071,0.002,0.051,11.451,-5.328,-9.337
19:17:05:241,3.855,0.067,-0.024,0.079,11.519,-5.197,-8.857
19:17:05:242,3.856,0.039,-0.050,0.109,11.559,-4.559,-8.370
19:17:05:242,3.857,0.017,-0.039,0.091,11.562,-3.775,-8.102
19:17:05:32,3.934,-0.017,-0.004,0.112,11.532,-2.757,-7.702
19:17:05:32,3.935,0.018,-0.024,0.110,11.492,-2.422,-7.404
19:17:05:321,3.936,0.056,-0.006,0.117,11.415,-2.450,-6.929
19:17:05:34,3.955,0.100,0.013,0.111,11.305,-2.615,-6.538
19:17:05:395,4.010,0.114,0.026,0.114,11.194,-2.773,-6.374
19:17:05:396,4.011,0.109,0.022,0.165,11.061,-3.135,-6.280
19:17:05:419,4.033,0.154,0.018,0.183,11.006,-3.556,-6.395
19:17:05:474,4.089,0.177,0.061,0.140,10.905,-4.071,-6.752
19:17:05:475,4.089,0.177,0.112,0.114,10.888,-4.461,-7.207
19:17:05:498,4.112,0.145,0.124,0.071,11.025,-4.314,-7.508
19:17:05:554,4.168,0.119,0.072,-0.008,11.447,-3.075,-8.007
19:17:05:554,4.168,0.051,-0.081,-0.055,11.925,-1.493,-8.404
19:17:05:576,4.191,-0.038,-0.127,-0.060,12.712,1.163,-9.073
19:17:05:633,4.247,-0.077,-0.130,-0.079,13.364,3.095,-10.199
19:17:05:634,4.248,-0.099,-0.111,-0.091,13.646,3.605,-11.249
19:17:05:655,4.270,-0.079,0.033,-0.116,13.646,3.040,-13.083
19:17:05:768,4.383,0.007,-0.026,-0.092,13.523,2.191,-14.284
19:17:05:769,4.384,0.016,-0.012,-0.104,13.243,1.171,-15.728
19:17:05:77,4.385,0.013,-0.014,-0.127,13.104,0.966,-16.414
19:17:05:771,4.386,-0.003,0.008,-0.133,13.190,1.465,-16.561
19:17:05:788,4.403,-0.040,-0.016,-0.127,13.410,3.231,-16.383
19:17:05:841,4.456,-0.073,-0.054,-0.140,13.780,4.773,-16.168
19:17:05:842,4.457,-0.116,-0.101,-0.125,14.214,6.816,-15.956
19:17:05:896,4.511,-0.143,-0.092,-0.117,14.315,7.803,-16.031
19:17:05:896,4.511,-0.158,-0.089,-0.100,14.129,8.431,-16.490
19:17:05:918,4.532,-0.111,-0.057,-0.081,13.497,8.023,-17.365
19:17:05:944,4.559,-0.105,-0.048,-0.068,12.909,7.482,-18.004
19:17:06:075,4.690,-0.104,-0.051,-0.053,11.959,6.628,-18.849
19:17:06:156,4.771,-0.095,-0.068,-0.038,11.358,6.175,-19.288
19:17:06:216,4.831,-0.088,-0.067,-0.024,10.247,5.623,-19.124
19:17:06:216,4.831,-0.057,-0.054,0.031,9.419,5.142,-18.804
19:17:06:243,4.857,0.039,0.052,0.085,8.044,3.375,-15.969
19:17:06:243,4.857,0.054,0.106,0.157,7.615,1.761,-13.561
19:17:06:244,4.858,0.098,0.138,0.143,7.360,-0.155,-11.195
19:17:06:244,4.859,0.105,0.189,0.130,7.348,-1.255,-9.694
19:17:06:263,4.878,0.162,0.374,0.059,7.591,-2.620,-7.754
19:17:06:263,4.878,0.280,0.355,0.115,8.036,-2.859,-6.596
19:17:06:285,4.899,0.279,0.146,0.147,9.203,-2.409,-4.901
19:17:06:37,4.984,0.261,-0.182,0.110,10.487,-0.631,-3.720
19:17:06:37,4.985,0.140,-0.359,-0.019,11.385,0.760,-3.174
19:17:06:371,4.985,0.073,-0.333,-0.069,12.601,2.080,-2.821
19:17:06:39,5.005,0.055,-0.075,-0.163,13.184,2.099,-3.035
19:17:06:417,5.031,0.068,0.038,-0.184,13.956,1.372,-4.305
19:17:06:443,5.057,0.067,0.098,-0.178,14.673,0.234,-6.580
19:17:06:469,5.084,0.056,0.069,-0.148,15.049,-0.648,-8.451
19:17:06:495,5.110,0.061,-0.048,-0.116,15.170,-2.170,-11.518
19:17:06:521,5.136,0.022,-0.124,-0.073,14.876,-3.250,-13.560
19:17:06:635,5.250,-0.040,-0.123,-0.042,13.886,-4.756,-16.417
19:17:06:636,5.250,-0.099,-0.117,-0.087,12.589,-6.186,-19.010
19:17:06:637,5.251,-0.134,-0.047,0.040,11.644,-7.318,-20.648
19:17:06:865,5.479,-0.082,-0.180,0.092,9.946,-10.502,-23.875
19:17:06:926,5.541,0.142,-0.046,0.427,8.923,-12.656,-25.490
19:17:06:927,5.541,0.151,-0.038,0.525,7.892,-12.889,-25.427
19:17:06:927,5.542,0.074,-0.090,0.421,7.833,-11.297,-24.923
19:17:06:927,5.542,-0.042,0.007,0.143,8.373,-7.338,-24.218
19:17:07:083,5.697,-0.161,-0.063,0.041,9.231,-3.069,-22.345
19:17:07:083,5.697,-0.156,-0.035,0.027,9.755,-1.220,-21.101
19:17:07:083,5.698,-0.133,0.030,0.067,10.303,-0.361,-19.423
19:17:07:084,5.699,-0.032,0.012,0.106,10.548,-1.011,-18.557
19:17:07:186,5.801,0.018,-0.012,0.129,10.635,-3.430,-17.854
19:17:07:187,5.802,0.172,0.132,0.151,10.423,-5.558,-17.653
19:17:07:188,5.803,0.122,0.178,0.104,9.962,-8.508,-17.662
19:17:07:24,5.855,0.150,0.299,0.049,9.694,-10.699,-17.922
19:17:07:241,5.855,0.039,0.091,-0.007,10.324,-9.848,-18.061
19:17:07:242,5.857,-0.016,-0.075,-0.087,11.139,-7.976,-18.033
19:17:07:243,5.857,-0.036,-0.153,-0.085,12.409,-4.545,-18.102
19:17:07:266,5.880,-0.178,-0.056,-0.172,13.270,-0.890,-18.191
19:17:07:267,5.881,-0.146,-0.044,-0.159,13.695,0.993,-18.205
19:17:07:267,5.882,-0.047,-0.041,-0.146,14.198,3.347,-18.390
19:17:07:268,5.883,-0.065,-0.012,-0.156,14.534,4.815,-18.249
19:17:07:318,5.933,-0.036,-0.049,-0.161,15.114,7.236,-17.668
19:17:07:318,5.933,-0.047,-0.112,-0.149,15.731,10.046,-16.741
19:17:07:319,5.934,-0.087,-0.116,-0.162,16.072,11.998,-16.060
19:17:07:338,5.953,-0.141,-0.097,-0.151,16.523,16.010,-14.925
19:17:07:339,5.953,-0.163,-0.068,-0.141,16.473,17.452,-14.892
19:17:07:423,6.037,-0.145,-0.050,-0.148,16.137,17.318,-15.364
19:17:07:423,6.038,-0.117,-0.069,-0.134,15.760,16.658,-15.894
19:17:07:424,6.039,-0.090,-0.097,-0.123,14.967,15.058,-16.743
19:17:07:425,6.040,-0.069,-0.095,-0.104,14.296,14.021,-17.262
19:17:07:442,6.057,-0.053,-0.049,-0.093,13.187,12.661,-17.809
19:17:07:493,6.108,-0.057,-0.018,-0.080,12.126,11.962,-17.914
19:17:07:523,6.137,-0.055,-0.031,-0.075,11.507,11.834,-17.739
19:17:07:523,6.137,-0.053,0.000,-0.056,10.427,12.003,-16.960
19:17:07:545,6.160,0.017,0.031,0.019,9.883,12.138,-16.213
19:17:07:601,6.215,-0.004,-0.002,0.065,9.070,11.914,-14.449
19:17:07:601,6.216,0.095,0.062,0.179,8.039,10.474,-12.105
19:17:07:624,6.239,-0.118,0.147,0.229,7.007,7.904,-9.522
19:17:07:71,6.324,0.542,0.411,0.202,5.903,1.493,-8.446
19:17:07:71,6.325,0.545,0.292,0.192,5.928,-3.443,-8.371
19:17:07:71,6.325,0.535,0.261,0.182,7.113,-7.907,-8.062
19:17:07:758,6.373,0.531,0.085,0.080,8.236,-7.928,-8.059
19:17:07:759,6.374,0.329,-0.159,-0.010,10.277,-2.999,-6.860
19:17:07:808,6.423,0.127,-0.345,-0.126,12.009,4.916,-4.888
19:17:07:866,6.480,0.032,-0.388,-0.146,12.907,10.111,-3.850
19:17:07:867,6.481,-0.022,-0.158,-0.159,13.755,15.399,-2.816
19:17:07:868,6.482,-0.033,-0.031,-0.173,14.211,17.624,-2.584
19:17:07:886,6.501,-0.025,0.067,-0.201,15.065,19.185,-3.287
19:17:07:941,6.556,0.013,0.069,-0.202,15.868,18.930,-5.219
19:17:07:942,6.557,-0.012,0.042,-0.199,16.188,18.160,-6.968
19:17:07:965,6.580,-0.023,-0.082,-0.133,16.180,16.464,-10.203
19:17:08:019,6.634,-0.058,-0.127,-0.121,15.751,15.142,-12.634
19:17:08:049,6.663,-0.091,-0.099,-0.093,14.504,13.137,-16.399
19:17:08:049,6.663,-0.135,-0.060,-0.056,12.762,11.321,-20.052
19:17:08:07,6.685,-0.140,-0.062,-0.075,11.499,10.282,-22.332
19:17:08:096,6.711,-0.149,-0.050,-0.042,9.525,9.156,-25.203
19:17:08:124,6.739,-0.131,-0.066,0.018,8.273,8.862,-26.657
19:17:08:149,6.764,-0.052,-0.072,0.121,6.658,9.659,-28.085
19:17:08:176,6.790,0.125,-0.075,0.266,5.672,12.632,-28.525
19:17:08:231,6.845,0.121,-0.081,0.240,5.679,16.177,-28.309
19:17:08:232,6.846,0.040,-0.107,0.213,6.458,22.600,-27.340
19:17:08:343,6.958,-0.078,-0.061,0.200,7.199,27.060,-26.640
19:17:08:344,6.958,-0.140,-0.053,0.278,8.539,32.937,-25.388
19:17:08:344,6.959,-0.040,-0.024,0.338,9.103,35.449,-24.248
19:17:08:344,6.959,0.093,0.063,0.265,8.738,35.319,-23.690
19:17:08:386,7.001,0.099,0.059,0.181,7.573,32.641,-22.936
19:17:08:469,7.084,0.149,0.085,0.065,6.743,30.189,-22.733
19:17:08:47,7.084,0.183,0.168,0.048,5.885,26.752,-22.876
19:17:08:496,7.110,0.071,0.207,0.078,5.862,25.014,-23.379
19:17:08:497,7.111,-0.019,0.171,0.100,6.282,24.843,-23.721
19:17:08:498,7.112,-0.159,0.200,0.108,7.076,25.259,-24.229
19:17:08:519,7.133,-0.160,0.151,0.112,7.697,25.646,-24.464
19:17:08:543,7.157,-0.135,-0.020,0.053,8.708,26.283,-24.801
19:17:08:569,7.183,-0.141,-0.241,0.023,9.414,26.698,-25.021
19:17:08:624,7.239,-0.182,-0.256,0.020,10.223,27.120,-25.252
19:17:08:625,7.240,-0.262,-0.083,0.030,10.632,27.310,-25.181
19:17:08:677,7.291,-0.174,0.005,-0.015,10.905,27.416,-25.032
19:17:08:677,7.292,-0.149,0.047,-0.038,11.512,28.023,-24.240
19:17:08:729,7.344,-0.118,0.033,-0.093,12.046,28.833,-23.094
19:17:08:73,7.344,-0.070,-0.059,-0.120,12.991,30.667,-20.666
19:17:08:867,7.481,-0.067,-0.124,-0.111,13.911,33.480,-17.567
19:17:08:868,7.482,-0.055,-0.121,-0.121,14.410,35.763,-15.388
19:17:08:869,7.483,-0.076,-0.081,-0.146,14.933,39.616,-12.203
19:17:08:869,7.484,-0.110,-0.037,-0.147,15.116,42.212,-10.242
19:17:08:888,7.502,-0.138,-0.006,-0.160,15.202,45.358,-7.742
19:17:08:888,7.502,-0.111,-0.026,-0.150,15.196,47.100,-5.999
19:17:08:939,7.554,-0.071,-0.066,-0.150,15.153,47.371,-5.299
19:17:08:94,7.555,-0.033,-0.064,-0.163,14.972,46.676,-4.846
19:17:08:993,7.608,0.006,-0.056,-0.181,14.763,45.736,-4.864
19:17:08:993,7.608,0.016,-0.036,-0.202,14.308,44.051,-5.174
19:17:09:015,7.630,0.002,0.000,-0.210,13.752,42.552,-5.614
19:17:09:182,7.797,0.003,0.033,-0.207,13.357,41.744,-5.893
19:17:09:183,7.797,0.044,0.032,-0.196,12.754,40.917,-6.207
19:17:09:184,7.798,0.090,0.012,-0.189,12.339,40.704,-6.269
19:17:09:184,7.799,0.118,0.008,-0.179,11.667,41.010,-6.000
19:17:09:208,7.823,0.135,0.030,-0.173,10.946,42.005,-5.289
19:17:09:209,7.823,0.143,0.102,-0.165,10.444,43.091,-4.619
19:17:09:209,7.824,0.162,0.162,-0.194,9.734,45.013,-3.507
19:17:09:254,7.869,0.178,0.297,-0.164,8.742,49.150,-1.762
19:17:09:255,7.869,0.326,0.064,-0.101,8.292,51.689,-1.317
19:17:09:446,8.061,0.328,-0.278,0.121,8.444,55.537,-2.645
19:17:09:447,8.061,0.135,-0.191,0.030,8.814,57.417,-3.848
19:17:09:448,8.062,0.024,-0.092,-0.049,9.643,62.032,-5.897
19:17:09:549,8.164,-0.132,0.056,0.049,10.588,65.264,-6.940
19:17:09:55,8.165,-0.166,0.041,0.206,12.504,69.589,-7.982
19:17:09:551,8.166,-0.197,0.137,0.047,14.168,70.436,-10.675
19:17:09:57,8.185,-0.188,-0.037,-0.022,15.736,65.204,-15.962
19:17:09:571,8.186,-0.190,-0.072,-0.017,15.601,62.112,-18.380
19:17:09:628,8.242,-0.167,-0.117,0.015,14.796,57.686,-21.651
19:17:09:628,8.243,-0.095,-0.092,0.055,13.649,54.585,-24.580
19:17:09:629,8.244,-0.157,-0.059,0.139,12.979,53.354,-26.194
19:17:09:63,8.244,-0.411,-0.151,0.079,12.185,51.484,-28.405
19:17:09:645,8.260,-0.253,-0.261,0.010,11.533,49.629,-29.787
19:17:09:726,8.341,-0.195,-0.260,0.029,10.038,46.801,-30.961
19:17:09:891,8.505,0.013,-0.255,0.074,8.068,45.381,-30.575
19:17:09:892,8.506,0.169,-0.216,0.100,6.744,45.515,-29.830
19:17:09:893,8.507,0.374,-0.010,0.180,5.379,47.325,-28.596
19:17:09:893,8.508,0.165,0.268,0.073,5.374,49.858,-27.859
19:17:09:917,8.532,-0.042,0.045,0.268,6.227,56.183,-25.018
19:17:09:918,8.533,0.023,0.024,0.350,8.030,62.688,-21.882
19:17:09:967,8.581,0.440,0.175,0.020,8.537,58.907,-18.454
19:17:09:967,8.582,0.429,0.211,0.022,7.130,50.806,-19.236
19:17:09:968,8.583,0.235,0.326,0.025,5.806,44.608,-20.363
19:17:09:986,8.601,-0.004,0.209,0.112,5.757,42.976,-21.056
19:17:10:039,8.654,-0.038,0.077,0.066,6.683,42.535,-22.016
19:17:10:068,8.683,-0.170,-0.134,0.005,7.784,43.317,-22.841
19:17:10:069,8.683,-0.174,-0.208,0.012,9.982,45.334,-23.914
19:17:10:092,8.706,-0.260,-0.046,0.040,12.144,47.747,-24.553
19:17:10:176,8.790,-0.251,0.006,0.062,13.621,49.480,-24.513
19:17:10:176,8.791,-0.198,0.029,-0.047,15.834,52.505,-23.634
19:17:10:177,8.792,-0.206,0.065,-0.090,17.053,54.817,-22.254
19:17:10:224,8.839,-0.194,-0.023,-0.147,18.418,58.578,-19.076
