Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
16:58:22:207,0.000,-0.067,-0.010,-0.016,-0.291,0.413,13.831
16:58:22:234,0.027,-0.071,-0.014,-0.013,-0.319,0.349,13.638
16:58:22:261,0.054,-0.061,-0.012,-0.018,-0.359,0.195,13.537
16:58:22:288,0.081,-0.061,-0.008,-0.006,-0.396,-0.177,13.413
16:58:22:315,0.109,-0.066,-0.012,-0.016,-0.451,-0.536,13.369
16:58:22:343,0.136,-0.066,-0.012,-0.016,-0.451,-0.536,13.369
16:58:22:369,0.163,-0.078,-0.013,-0.006,-0.510,-0.822,13.456
16:58:22:397,0.190,-0.073,-0.008,-0.001,-0.607,-1.289,13.661
16:58:22:423,0.217,-0.073,-0.008,-0.001,-0.607,-1.289,13.661
16:58:22:451,0.245,-0.016,0.009,0.007,-0.690,-3.120,14.620
16:58:22:478,0.271,-0.001,0.005,0.006,-0.672,-3.447,15.005
16:58:22:506,0.299,0.020,0.004,0.008,-0.664,-3.947,15.715
16:58:22:533,0.326,0.029,0.002,0.013,-0.659,-4.160,16.219
16:58:22:56,0.353,0.049,0.003,0.006,-0.611,-4.680,16.899
16:58:22:587,0.381,0.073,-0.019,0.008,-0.505,-5.173,17.348
16:58:22:615,0.408,0.068,-0.023,0.012,-0.280,-5.896,17.859
16:58:22:642,0.436,0.058,-0.028,0.006,-0.185,-6.194,18.043
16:58:22:669,0.462,0.058,-0.028,0.006,-0.185,-6.194,18.043
16:58:22:696,0.490,0.058,-0.002,-0.007,-0.111,-6.657,18.245
16:58:22:723,0.516,0.058,-0.002,-0.007,-0.111,-6.657,18.245
16:58:22:75,0.544,0.058,-0.002,-0.007,-0.111,-6.657,18.245
16:58:22:777,0.571,0.049,-0.007,-0.010,0.263,-8.881,18.584
16:58:22:805,0.598,0.047,-0.012,-0.002,0.446,-10.472,18.558
16:58:22:832,0.625,0.048,-0.017,0.011,0.504,-11.004,18.498
16:58:22:859,0.652,0.043,-0.018,0.006,0.546,-11.550,18.370
16:58:22:886,0.679,0.017,-0.004,0.015,0.541,-11.749,18.292
16:58:22:913,0.707,0.017,-0.004,0.015,0.541,-11.749,18.292
16:58:22:94,0.733,0.000,-0.008,0.025,0.485,-11.778,18.181
16:58:22:967,0.761,-0.014,0.002,0.021,0.460,-11.641,18.165
16:58:22:994,0.788,-0.025,-0.002,0.020,0.420,-11.365,18.179
16:58:23:021,0.814,-0.025,-0.002,0.020,0.420,-11.365,18.179
16:58:23:049,0.842,-0.034,0.001,0.009,0.463,-11.080,18.223
16:58:23:076,0.869,-0.030,0.003,-0.005,0.559,-11.125,18.251
16:58:23:103,0.897,-0.030,0.003,-0.005,0.559,-11.125,18.251
16:58:23:13,0.923,-0.016,-0.010,-0.013,0.751,-11.412,18.291
16:58:23:157,0.951,-0.014,-0.001,-0.012,0.787,-11.487,18.313
16:58:23:184,0.978,-0.014,-0.001,-0.012,0.787,-11.487,18.313
16:58:23:212,1.005,-0.014,-0.001,-0.012,0.787,-11.487,18.313
16:58:23:239,1.032,0.003,0.002,-0.013,0.880,-11.847,18.513
16:58:23:266,1.059,0.005,-0.013,-0.004,0.891,-11.970,18.583
16:58:23:293,1.087,0.009,-0.011,0.010,0.884,-12.058,18.621
16:58:23:32,1.114,0.014,-0.012,0.019,0.860,-12.144,18.671
16:58:23:347,1.141,0.013,-0.008,0.024,0.843,-12.181,18.682
16:58:23:376,1.169,0.003,-0.002,0.013,0.790,-12.122,18.690
16:58:23:403,1.196,-0.001,-0.005,0.010,0.771,-11.999,18.696
16:58:23:43,1.223,-0.003,-0.004,0.010,0.770,-11.911,18.712
16:58:23:457,1.250,-0.003,-0.009,0.005,0.797,-11.799,18.737
16:58:23:484,1.278,-0.003,-0.009,0.005,0.797,-11.799,18.737
16:58:23:511,1.304,-0.004,-0.008,0.001,0.815,-11.630,18.739
16:58:23:538,1.332,-0.001,-0.010,0.000,0.798,-11.492,18.741
