Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
17:04:38:636,0.000,0.001,-0.007,0.001,-2.682,-51.025,-20.671
17:04:38:663,0.027,0.001,-0.007,0.001,-2.682,-51.025,-20.671
17:04:38:69,0.054,-0.004,-0.002,-0.003,-2.570,-50.757,-20.567
17:04:38:717,0.081,-0.003,-0.002,0.010,-2.556,-50.827,-20.537
17:04:38:744,0.108,-0.005,0.005,0.004,-2.543,-50.865,-20.525
17:04:38:772,0.136,-0.005,0.005,0.004,-2.543,-50.865,-20.525
17:04:38:799,0.163,0.004,-0.011,0.013,-2.496,-51.057,-20.519
17:04:38:826,0.190,0.002,-0.003,0.014,-2.493,-51.209,-20.519
17:04:38:853,0.217,0.006,-0.001,0.011,-2.488,-51.316,-20.525
17:04:38:88,0.244,0.003,0.004,0.011,-2.474,-51.350,-20.530
17:04:38:908,0.272,0.005,-0.005,0.007,-2.440,-51.336,-20.571
17:04:38:935,0.299,-0.002,-0.007,0.010,-2.416,-51.274,-20.603
17:04:38:962,0.326,-0.002,-0.007,0.010,-2.416,-51.274,-20.603
17:04:38:989,0.353,-0.011,-0.003,-0.002,-2.377,-51.059,-20.727
17:04:39:016,0.380,-0.006,-0.005,-0.006,-2.405,-50.972,-20.779
17:04:39:044,0.408,-0.006,-0.005,-0.006,-2.405,-50.972,-20.779
17:04:39:071,0.435,-0.006,-0.001,-0.003,-2.431,-50.956,-20.782
17:04:39:099,0.463,-0.006,-0.001,0.004,-2.456,-50.988,-20.771
17:04:39:125,0.489,-0.005,0.001,0.005,-2.471,-51.031,-20.741
17:04:39:153,0.517,-0.007,0.001,0.006,-2.468,-51.021,-20.721
17:04:39:181,0.545,-0.006,-0.001,0.002,-2.417,-50.778,-20.717
17:04:39:208,0.572,-0.006,-0.001,0.002,-2.417,-50.778,-20.717
17:04:39:235,0.599,-0.006,-0.001,0.002,-2.417,-50.778,-20.717
17:04:39:262,0.626,-0.019,-0.001,-0.005,-2.133,-50.108,-20.654
17:04:39:289,0.653,-0.009,0.003,-0.009,-2.041,-49.943,-20.610
17:04:39:316,0.680,-0.013,0.001,-0.006,-1.972,-49.879,-20.574
17:04:39:343,0.708,-0.013,0.001,-0.006,-1.972,-49.879,-20.574
17:04:39:371,0.735,-0.013,0.001,-0.006,-1.972,-49.879,-20.574
17:04:39:398,0.762,-0.001,-0.002,-0.001,-1.760,-49.871,-20.495
17:04:39:425,0.789,-0.003,0.000,0.001,-1.684,-49.867,-20.468
17:04:39:452,0.816,0.000,0.000,0.001,-1.631,-49.843,-20.440
17:04:39:479,0.843,0.000,0.000,0.001,-1.631,-49.843,-20.440
17:04:39:506,0.870,0.000,0.000,0.001,-1.631,-49.843,-20.440
17:04:39:533,0.897,0.002,-0.003,0.002,-1.472,-49.755,-20.348
17:04:39:56,0.924,0.003,-0.009,0.003,-1.304,-49.601,-20.230
17:04:39:587,0.951,0.003,-0.009,0.003,-1.304,-49.601,-20.230
17:04:39:614,0.978,0.003,-0.009,0.003,-1.304,-49.601,-20.230
17:04:39:641,1.005,-0.001,-0.004,0.000,-1.260,-49.558,-20.203
17:04:39:668,1.032,0.006,-0.008,-0.001,-1.125,-49.537,-20.034
17:04:39:696,1.060,0.002,-0.003,0.002,-1.095,-49.572,-19.991
17:04:39:723,1.087,0.002,-0.003,0.002,-1.095,-49.572,-19.991
17:04:39:751,1.115,0.002,-0.003,0.002,-1.095,-49.572,-19.991
17:04:39:778,1.142,0.009,0.000,0.006,-1.053,-49.878,-19.921
17:04:39:805,1.169,0.009,0.000,0.006,-1.053,-49.878,-19.921
17:04:39:832,1.196,0.006,-0.003,0.005,-1.071,-50.090,-19.920
17:04:39:859,1.223,0.006,-0.003,0.005,-1.071,-50.090,-19.920
17:04:39:886,1.250,0.006,-0.003,0.005,-1.071,-50.090,-19.920
17:04:39:913,1.277,0.007,-0.002,0.007,-1.117,-50.307,-19.901
17:04:39:94,1.304,0.007,-0.002,0.007,-1.117,-50.307,-19.901
17:04:39:967,1.331,0.012,-0.006,0.005,-1.130,-50.383,-19.895
17:04:39:995,1.359,0.008,-0.006,0.007,-1.141,-50.422,-19.873
17:04:40:022,1.386,0.006,-0.001,0.004,-1.162,-50.476,-19.854
17:04:40:049,1.413,0.010,-0.002,0.000,-1.162,-50.476,-19.854
17:04:40:076,1.440,0.005,-0.004,0.007,-1.169,-50.481,-19.858
17:04:40:104,1.468,0.005,-0.004,0.007,-1.169,-50.481,-19.858
17:04:40:13,1.494,0.009,-0.003,0.002,-1.170,-50.495,-19.852
17:04:40:158,1.522,0.010,-0.005,0.005,-1.186,-50.525,-19.849
17:04:40:184,1.548,0.010,-0.005,0.005,-1.186,-50.525,-19.849
17:04:40:212,1.576,0.010,-0.005,0.005,-1.186,-50.525,-19.849
17:04:40:239,1.603,0.010,-0.010,0.004,-1.180,-50.459,-19.854
17:04:40:266,1.630,0.010,-0.010,0.004,-1.180,-50.459,-19.854
17:04:40:294,1.658,0.010,-0.010,0.004,-1.180,-50.459,-19.854
17:04:40:321,1.685,0.010,-0.010,0.004,-1.180,-50.459,-19.854
17:04:40:348,1.712,0.010,-0.010,0.004,-1.180,-50.459,-19.854
17:04:40:375,1.739,0.007,-0.002,0.002,-1.274,-50.688,-19.852
17:04:40:402,1.766,0.005,0.001,0.005,-1.302,-50.758,-19.848
17:04:40:429,1.793,0.003,-0.002,0.001,-1.306,-50.772,-19.852
17:04:40:456,1.820,0.003,-0.002,0.001,-1.306,-50.772,-19.852
17:04:40:484,1.848,0.003,-0.002,0.001,-1.306,-50.772,-19.852
17:04:40:512,1.876,0.005,-0.001,-0.002,-1.332,-50.862,-19.828
17:04:40:539,1.903,0.009,-0.007,0.004,-1.354,-50.903,-19.786
17:04:40:567,1.931,0.009,-0.007,0.004,-1.354,-50.903,-19.786
17:04:40:594,1.958,0.009,-0.007,0.004,-1.354,-50.903,-19.786
17:04:40:621,1.985,0.009,-0.007,0.004,-1.354,-50.903,-19.786
17:04:40:648,2.012,0.012,-0.004,0.006,-1.359,-50.919,-19.691
17:04:40:676,2.040,0.011,0.001,0.001,-1.342,-50.878,-19.662
17:04:40:703,2.067,0.011,0.001,0.001,-1.342,-50.878,-19.662
17:04:40:731,2.095,0.010,0.001,0.004,-1.286,-50.755,-19.615
17:04:40:757,2.121,0.004,0.002,0.003,-1.229,-50.679,-19.586
17:04:40:785,2.149,0.010,0.000,0.004,-1.189,-50.638,-19.570
17:04:40:812,2.176,0.008,0.002,-0.006,-1.101,-50.530,-19.532
17:04:40:839,2.203,0.012,0.002,-0.011,-1.034,-50.445,-19.495
17:04:40:867,2.231,0.017,-0.003,-0.003,-0.939,-50.361,-19.402
17:04:40:894,2.258,0.023,-0.004,-0.023,-0.897,-50.247,-19.283
17:04:40:921,2.285,0.016,-0.005,-0.017,-0.863,-50.155,-19.195
17:04:40:948,2.312,0.018,-0.028,-0.009,-0.822,-50.066,-19.029
17:04:40:975,2.339,0.018,-0.034,-0.005,-0.805,-50.041,-18.917
17:04:41:003,2.367,0.017,-0.021,-0.003,-0.823,-50.043,-18.766
17:04:41:03,2.394,0.017,-0.021,-0.003,-0.823,-50.043,-18.766
17:04:41:057,2.421,-0.008,0.012,-0.026,-0.694,-50.159,-18.587
17:04:41:084,2.448,-0.018,0.005,-0.035,-0.549,-50.527,-18.591
17:04:41:111,2.475,-0.015,-0.064,-0.019,-0.413,-50.906,-18.647
17:04:41:138,2.502,-0.014,-0.096,-0.013,-0.124,-52.154,-18.691
17:04:41:165,2.529,-0.014,-0.096,-0.013,-0.124,-52.154,-18.691
17:04:41:192,2.556,-0.014,-0.096,-0.013,-0.124,-52.154,-18.691
17:04:41:219,2.583,-0.014,-0.096,-0.013,-0.124,-52.154,-18.691
17:04:41:246,2.610,-0.049,0.075,-0.066,0.132,-52.958,-18.521
17:04:41:273,2.638,-0.056,0.109,-0.092,0.138,-53.638,-18.422
17:04:41:301,2.665,-0.056,0.109,-0.092,0.138,-53.638,-18.422
17:04:41:329,2.693,-0.056,0.109,-0.092,0.138,-53.638,-18.422
17:04:41:355,2.719,-0.056,0.109,-0.092,0.138,-53.638,-18.422
17:04:41:383,2.747,0.072,-0.106,0.075,-0.695,-66.953,-16.182
17:04:41:41,2.774,0.072,-0.106,0.075,-0.695,-66.953,-16.182
17:04:41:437,2.801,0.072,-0.106,0.075,-0.695,-66.953,-16.182
17:04:41:464,2.828,0.079,-0.115,0.089,0.058,-67.763,-15.296
17:04:41:491,2.855,0.137,-0.052,0.119,1.613,-69.228,-12.040
17:04:41:518,2.882,0.137,-0.052,0.119,1.613,-69.228,-12.040
17:04:41:545,2.909,0.167,-0.029,0.203,2.303,-69.545,-10.177
17:04:41:573,2.937,0.167,-0.029,0.203,2.303,-69.545,-10.177
17:04:41:6,2.964,0.167,-0.029,0.203,2.303,-69.545,-10.177
17:04:41:627,2.991,0.196,0.047,0.268,4.094,-69.457,-3.829
17:04:41:654,3.018,0.196,0.047,0.268,4.094,-69.457,-3.829
17:04:41:681,3.045,0.196,0.047,0.268,4.094,-69.457,-3.829
17:04:41:709,3.073,0.196,0.047,0.268,4.094,-69.457,-3.829
17:04:41:735,3.099,0.196,0.047,0.268,4.094,-69.457,-3.829
17:04:41:763,3.127,0.195,0.200,0.426,4.310,-72.017,-0.722
17:04:41:79,3.154,0.195,0.200,0.426,4.310,-72.017,-0.722
17:04:41:817,3.181,0.153,-0.005,0.466,3.791,-72.788,-0.783
17:04:41:845,3.209,0.122,0.023,0.378,3.019,-70.708,-2.151
17:04:41:871,3.236,0.100,0.015,0.243,2.406,-68.555,-3.694
17:04:41:899,3.263,0.070,-0.025,0.167,2.121,-66.879,-5.113
17:04:41:927,3.291,0.070,-0.025,0.167,2.121,-66.879,-5.113
17:04:41:953,3.317,0.090,0.038,0.060,1.224,-63.100,-9.551
17:04:41:981,3.345,0.071,0.110,-0.142,0.763,-59.082,-14.691
17:04:42:008,3.372,0.092,0.110,-0.113,1.055,-57.017,-17.675
