Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
16:44:47:501,0.000,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:528,0.027,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:556,0.055,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:583,0.083,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:611,0.110,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:637,0.137,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:665,0.164,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:692,0.191,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:719,0.218,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:746,0.246,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:773,0.272,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:8,0.300,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:828,0.327,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:855,0.355,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:883,0.383,-0.036,-0.030,-0.022,-5.591,41.025,-6.448
16:44:47:911,0.410,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:47:938,0.437,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:47:965,0.465,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:47:992,0.491,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:019,0.519,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:046,0.545,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:074,0.573,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:101,0.600,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:128,0.628,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:156,0.656,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:183,0.683,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:21,0.710,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:238,0.737,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:264,0.764,-0.141,-0.048,-0.084,-6.227,40.827,-7.619
16:44:48:292,0.791,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:319,0.818,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:346,0.845,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:373,0.872,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:4,0.900,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:427,0.927,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:455,0.954,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:481,0.981,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:509,1.009,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:537,1.036,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:564,1.064,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:592,1.091,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:619,1.118,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:646,1.145,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:673,1.172,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:7,1.200,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:727,1.227,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:754,1.254,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:783,1.282,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:809,1.309,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:837,1.336,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:864,1.364,0.018,-0.006,-0.026,-13.843,41.617,-8.539
16:44:48:892,1.391,0.000,-0.019,-0.018,-14.531,41.840,-8.643
16:44:48:918,1.418,0.000,-0.019,-0.018,-14.531,41.840,-8.643
