Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
16:44:47:505,0.000,-0.003,-0.014,0.001,-14.893,14.059,0.879
16:44:47:532,0.027,-0.005,-0.012,-0.003,-14.858,14.066,0.864
16:44:47:56,0.055,0.007,-0.017,0.008,-14.837,14.090,0.832
16:44:47:587,0.082,-0.001,-0.014,0.004,-14.791,14.146,0.786
16:44:47:614,0.109,-0.002,-0.013,0.006,-14.765,14.186,0.747
16:44:47:641,0.136,-0.003,-0.014,-0.003,-14.724,14.265,0.678
16:44:47:668,0.163,-0.009,-0.010,0.002,-14.651,14.361,0.594
16:44:47:695,0.190,-0.006,-0.018,0.002,-14.575,14.419,0.529
16:44:47:722,0.217,-0.003,-0.016,0.004,-14.482,14.515,0.445
16:44:47:75,0.245,-0.005,-0.012,0.007,-14.420,14.576,0.395
16:44:47:777,0.272,-0.002,-0.020,0.014,-14.324,14.635,0.321
16:44:47:804,0.299,0.000,-0.011,0.001,-14.268,14.654,0.286
16:44:47:831,0.326,0.001,-0.014,0.003,-14.181,14.654,0.245
16:44:47:858,0.353,0.004,-0.013,0.007,-14.090,14.663,0.212
16:44:47:887,0.382,0.006,-0.014,0.006,-14.045,14.683,0.211
16:44:47:914,0.409,0.003,-0.018,0.005,-13.980,14.744,0.197
16:44:47:941,0.436,-0.008,-0.010,-0.002,-13.940,14.806,0.181
16:44:47:968,0.463,-0.008,-0.010,-0.002,-13.940,14.806,0.181
16:44:47:995,0.490,-0.003,-0.015,0.003,-13.895,14.898,0.161
16:44:48:022,0.517,-0.005,-0.013,-0.001,-13.840,14.969,0.145
16:44:48:05,0.545,-0.005,-0.013,-0.001,-13.840,14.969,0.145
16:44:48:077,0.572,-0.001,-0.010,-0.002,-13.660,15.030,0.136
16:44:48:105,0.599,0.001,-0.012,0.004,-13.631,15.030,0.136
16:44:48:132,0.627,0.001,-0.012,0.004,-13.631,15.030,0.136
16:44:48:159,0.654,0.001,-0.012,0.004,-13.631,15.030,0.136
16:44:48:187,0.682,0.001,-0.012,0.004,-13.631,15.030,0.136
16:44:48:215,0.710,0.000,-0.011,0.002,-13.444,14.973,-0.024
