,mean,sd,ave(mean),average_mean,no
1,28802.82925,0.253985002,28801.52577,28801.59818,0
2,28800.75225,0.586851224,28801.52577,28801.48279,1
3,28800.59158,0.290877505,28801.52577,28801.47387,2
4,28799.85067,0.461314184,28801.52577,28801.43271,3
5,28801.846,0.05118059,28801.52577,28801.54356,4
6,28801.65333,0.431251734,28801.52577,28801.53285,5
7,28806.76942,1.231993404,28801.52577,28801.81708,6
8,28799.64492,0.272404928,28801.52577,28801.42128,7
9,28803.10825,0.478051353,28801.52577,28801.61368,8
10,28801.19742,0.289840177,28801.52577,28801.50753,9
11,28800.74067,0.431722186,28801.52577,28801.48215,10
12,28802.8915,1.846441804,28801.52577,28801.60164,11
13,28801.92246,1.066116539,28801.52577,28801.54781,12
14,28800.95342,0.285791274,28801.52577,28801.49397,13
15,28800.717,0.626420192,28801.52577,28801.48084,14
16,28802.02717,0.187783117,28801.52577,28801.55362,15
17,28801.01692,0.829198996,28801.52577,28801.4975,16
18,28798.44325,4.253073526,28801.52577,28801.35452,17
19,28798.44325,4.253073526,28801.52577,28801.35452,18
20,28798.44325,4.253073526,28801.52577,28801.35452,19
21,28795.86958,7.676948055,28801.52577,28801.21154,20
22,28803.4155,0.923036024,28801.52577,28801.63075,21
23,28801.39938,0.983748749,28800.9739,28801.00381,22
24,28799.38325,1.044461473,28800.42203,28800.37687,23
25,28802.97592,0.213121153,28800.42203,28800.53307,24
26,28801.11067,0.257713465,28800.42203,28800.45198,25
27,28794.62508,7.076567269,28800.42203,28800.16999,26
28,28796.90067,0.627647304,28800.42203,28800.26893,27
29,28792.19233,5.429596407,28800.42203,28800.06422,28
30,28788.70433,7.830005087,28800.42203,28799.91257,29
31,28795.77538,4.154209145,28800.42203,28800.22001,30
32,28802.84642,0.478413203,28800.42203,28800.52744,31
33,28801.93933,0.422344828,28800.42203,28800.488,32
34,28801.33008,0.319004837,28800.42203,28800.46152,33
35,28800.7075,0.408985313,28800.42203,28800.43445,34
36,28800.08375,1.375606937,28800.42203,28800.40733,35
37,28800.34858,0.538086004,28800.42203,28800.41884,36
38,28798.19608,0.67503017,28800.42203,28800.32525,37
39,28800.58217,0.277858337,28800.42203,28800.429,38
40,28794.66567,2.73087038,28800.42203,28800.17176,39
41,28800.75142,0.850037934,28800.42203,28800.43636,40
42,28799.03017,0.191219871,28800.42203,28800.36152,41
43,28800.42567,0.424196052,28800.42203,28800.42219,42
44,28799.35517,2.043076318,28800.42203,28800.37565,43
45,28800.31592,0.485754595,28800.42203,28800.41742,44
46,28798.176,0.62590183,28800.42203,28800.32438,45
47,28799.24596,0.555828213,28800.42203,28800.3709,46
