personno,age,gender,height,weight,walktime,walkdistance,runtime,rundistance,phonetime,phonetimeday,phonefrequency,bandboo,bandyearbefore,bandyearnow,watchboo,watchyearbefore,watchyearnow,smartwatchboo,smartwatchyear,smartwatchtime,wristletboo,wristletyearbefore,wristletyearnow
1,24,m,173,56,3,3,2,2,6,2.5,2,0,0,0,1,0,6,0,0,0,0,6,0
2,23,m,177,57,3,3,1,1,5,2.5,5,0,3,0,0,0,0,0,0,0,0,0,0
3,21,f,158,50,3,4,1,1,5,2.5,4,0,0,0,1,0,4,0,0,0,0,0,0
4,22,m,177,60,3,2,2,2,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0
5,23,m,167,58,3,1,1,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25,m,180,72.5,3,2,1,2,8,2.5,3,0,0,0,1,0,0.5,0,0,0,0,0,0
7,22,m,174,62,3,3,3,3,7,5,4,0,0,0,0,4,0,0,0,0,0,0,0
8,21,f,172,62.5,3,3,1,1,5,6,5,0,2,0,0,3,0,0,0,0,0,0,0
9,22,f,161,75,3,2,1,1,3,8,5,0,1,0,0,0,0,0,0,0,0,0,0
10,21,m,170,58,4,3,4,4,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0
11,22,f,157,46,4,3,4,4,7,5,5,0,0.5,0,1,0,4,0,0,0,1,0,4
12,21,m,165,57,5,2,2,2,6,4,5,0,0,0,0,0,0,0,0,0,1,0,4
13,19,f,160,62.5,4,3,1,1,3,6,2,1,0,0.1,0,3,0,0,0,0,0,0,0
14,20,f,160,49.6,3,3,1,1,6,8,5,0,0,0,0,0,0,0,0,0,0,0.5,0
15,21,m,176,62,3,3,3,3,3,5,2,0,0,0,1,0,2,0,0,0,0,0,0
16,20,m,185,65,3,3,3,3,5,4,3,0,0,0,0,1,0,0,0,0,0,0,0
17,19,f,164,45,3,4,1,1,3,3,4,0,0,0,1,0,2,0,0,0,1,0,0.5
18,19,m,173,60,4,4,4,4,5,3,5,1,0,1,0,3,0,1,1,1,1,0,3
19,20,f,160,47,2,2,2,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0
20,21,m,172,63,3,3,1,1,6,5,5,0,0,0,0,1,0,0,0,0,0,0,0
21,21,m,175,65,4,2,1,1,2,4,5,0,0,0,0,4,0,0,0,0,0,1,0
22,20,f,173,64,4,3,2,2,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
23,21,m,180,64,4,3,4,4,6,5,5,0,2,0,0,4,0,0,0,0,0,4,0
24,20,f,167,48,3,2,1,1,5,3,4,0,0,0,0,4,0,0,0,0,0,0,0
