personno,con,a1,a2,a3,a4,a5,a6,a7,b1,b2,b3,b4,c1,c2,c3,c4,c5,c6,c7,c8
23,1,5,5,2,4,1,5,1,2,1,4,1,1,5,5,2,5,1,3,3
23,2,5,5,2,4,2,5,5,5,1,1,1,4,4,4,2,5,1,3,3
23,3,5,5,2,4,4,5,4,4,2,2,1,1,3,4,2,5,1,4,3
23,4,5,5,2,5,3,5,4,2,1,4,1,1,4,4,2,5,1,4,4
23,5,4,2,3,2,5,5,2,3,1,3,1,4,4,4,2,5,1,4,4
24,1,5,5,2,5,2,5,4,1,1,5,2,2,4,4,2,4,2,4,4
24,2,5,4,2,4,2,4,4,3,2,2,3,2,4,3,2,4,2,5,4
24,3,4,3,3,3,4,3,3,2,2,2,3,2,3,2,3,3,4,3,3
24,4,2,2,4,2,4,2,3,3,3,3,3,4,2,2,4,2,4,2,2
24,5,1,1,4,1,5,2,1,4,4,1,4,4,1,1,4,1,4,2,3
25,1,5,5,1,4,2,4,3,2,1,3,1,2,5,4,3,3,3,5,4
25,2,5,5,2,4,4,4,4,2,1,4,1,4,4,4,3,3,2,4,4
25,3,4,4,2,4,3,4,4,3,1,3,2,2,2,3,3,4,3,5,5
25,4,3,3,4,2,4,4,2,5,3,3,2,3,1,1,5,2,5,3,2
25,5,3,2,5,1,1,3,2,5,4,2,3,5,1,1,5,1,5,2,1
26,1,5,4,2,4,2,5,4,2,4,4,2,2,4,2,2,4,3,5,4
26,2,4,4,2,4,2,4,5,2,2,4,2,4,3,2,1,4,3,4,4
26,3,4,4,2,4,2,4,3,3,2,3,2,3,2,2,1,3,4,3,2
26,4,4,4,2,5,4,3,2,3,4,2,4,5,2,2,1,3,5,5,3
26,5,1,2,4,2,5,2,1,4,5,2,5,4,2,1,3,2,5,2,1
27,1,5,5,2,5,1,1,2,1,1,5,1,2,1,2,1,2,2,1,3
27,2,5,5,2,4,2,4,5,2,1,2,2,3,4,4,3,4,1,2,4
27,3,2,3,4,4,4,2,3,3,4,2,2,3,1,4,5,2,3,2,1
27,4,2,1,4,4,5,2,1,4,4,1,4,4,1,2,4,2,4,1,2
27,5,2,2,5,2,5,2,1,3,4,1,5,4,5,3,2,1,5,1,3
28,1,4,5,1,4,3,4,4,2,1,2,2,2,3,2,2,3,3,3,3
28,2,4,3,2,4,2,4,3,2,1,3,2,3,3,2,3,2,3,2,1
28,3,3,4,3,2,3,4,3,3,2,3,2,4,2,2,3,1,4,3,2
28,4,3,4,3,3,2,4,3,5,2,1,3,4,3,1,3,2,4,3,3
28,5,3,4,3,4,5,2,2,5,3,2,3,4,2,3,1,1,5,2,1
29,1,5,5,1,5,1,5,3,1,1,5,1,1,5,1,1,3,4,2,1
29,2,5,5,1,5,1,5,3,1,1,5,1,1,5,5,1,2,4,2,2
29,3,4,5,1,4,2,4,3,1,1,5,1,2,4,4,1,2,4,2,2
29,4,4,5,1,5,2,5,3,1,1,5,1,1,5,4,2,2,3,2,1
29,5,5,5,1,5,1,5,3,1,1,5,1,1,4,5,1,3,3,2,2
30,1,5,5,1,1,1,5,5,1,1,5,1,1,5,4,1,5,1,5,5
30,2,5,5,1,5,4,5,5,1,1,4,1,4,2,2,2,5,2,5,5
30,3,5,5,2,4,4,5,5,4,2,4,2,4,4,4,2,5,2,5,5
30,4,4,3,4,2,4,2,1,2,3,2,3,4,2,2,4,2,4,2,1
30,5,1,1,5,1,1,1,1,1,1,1,5,5,2,1,5,1,5,1,1
31,1,5,5,1,5,1,5,5,1,1,1,1,1,3,2,4,3,4,3,3
31,2,5,5,1,5,2,5,5,1,4,5,2,1,5,5,1,5,1,5,5
31,3,5,5,2,4,4,5,4,1,3,4,3,2,4,4,2,4,2,4,5
31,4,5,5,2,5,2,5,5,1,2,4,2,1,4,4,2,4,2,4,4
31,5,4,4,3,4,4,4,3,2,2,4,4,3,4,4,2,3,3,4,5
32,1,5,5,1,5,2,4,4,1,1,5,1,1,4,4,1,4,2,4,4
32,2,5,5,2,4,2,4,4,2,2,4,1,1,4,4,2,3,3,3,3
32,3,4,4,2,4,2,4,4,2,2,3,2,2,4,4,2,3,3,3,3
32,4,2,3,3,2,4,2,2,3,3,2,4,4,2,2,3,3,4,2,2
32,5,1,1,4,1,5,1,1,3,4,2,4,4,2,2,2,2,4,2,2
33,1,5,5,1,5,1,4,3,3,1,4,2,4,5,5,1,2,2,4,2
33,2,4,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,3,3,4
33,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3,4,4,2,3,4
33,4,3,3,3,3,4,2,3,3,2,3,4,3,4,3,4,4,3,3,4
33,5,3,2,5,2,4,2,2,4,4,2,4,4,2,2,4,4,4,3,3
34,1,5,5,2,5,2,4,5,4,2,2,2,2,5,5,1,4,2,4,4
34,2,4,4,2,4,3,5,4,1,2,4,1,4,5,4,2,3,3,5,5
34,3,4,4,3,5,3,4,4,4,3,4,4,4,5,5,1,3,2,3,3
34,4,4,4,3,4,4,4,3,4,3,2,3,4,5,5,1,3,2,2,4
34,5,3,3,4,3,4,3,1,4,4,3,4,4,5,5,1,2,4,2,2
35,1,5,4,2,4,2,5,4,1,2,4,2,2,5,5,2,4,2,3,3
35,2,4,4,3,4,3,4,3,2,3,4,2,3,4,4,2,3,3,3,3
35,3,5,4,2,5,2,4,4,1,2,4,2,3,4,4,2,3,3,4,3
35,4,3,3,4,3,3,4,3,2,2,4,3,3,4,4,2,2,4,3,2
35,5,2,2,5,2,4,3,2,3,4,2,4,4,4,2,3,1,4,2,2
36,1,4,4,1,3,1,4,4,1,1,2,2,4,3,3,1,3,1,3,3
36,2,5,5,1,5,1,4,4,1,1,4,1,1,5,3,1,4,1,3,3
36,3,5,5,1,5,1,4,4,1,1,4,1,1,4,4,1,4,1,3,4
36,4,5,5,3,5,2,4,5,1,2,4,1,1,4,3,1,4,1,3,5
36,5,5,5,1,5,1,5,5,1,1,4,1,1,5,4,1,3,1,4,4
37,1,4,3,2,3,2,4,4,2,2,4,2,2,4,4,3,4,2,3,4
37,2,4,4,2,4,2,4,4,2,3,3,2,2,4,3,2,4,2,4,4
37,3,4,4,2,4,2,4,5,2,2,4,2,2,4,4,2,4,2,4,4
37,4,4,4,2,4,2,4,5,2,2,4,2,2,4,4,2,4,2,4,4
37,5,5,4,3,4,2,4,4,3,2,3,2,2,4,3,4,4,2,4,4
38,1,5,5,2,5,2,5,5,2,2,2,2,2,5,5,2,5,2,4,4
38,2,4,4,2,4,2,4,4,2,2,2,4,4,4,3,3,3,2,4,4
38,3,2,2,5,2,5,2,1,4,5,2,5,5,2,4,4,3,5,3,4
38,4,1,2,5,1,3,4,1,2,5,1,5,4,1,1,5,1,5,1,1
38,5,1,1,5,1,5,1,1,5,5,5,5,5,1,1,5,1,5,1,1
39,1,5,5,1,5,1,5,5,1,1,5,1,1,5,5,1,4,3,5,3
39,2,5,5,1,5,1,5,5,1,1,5,1,1,5,5,1,3,3,3,3
39,3,5,5,1,5,2,5,5,1,1,5,1,1,4,4,2,3,3,3,3
39,4,4,5,2,4,1,5,5,2,1,4,1,2,5,4,2,3,2,3,3
39,5,2,3,4,2,2,3,3,4,2,2,2,4,3,3,3,2,5,1,1
40,1,5,5,1,5,1,5,5,1,1,5,1,1,5,5,2,4,2,5,5
40,2,5,5,1,5,1,4,5,1,1,5,1,1,1,1,2,4,1,5,5
40,3,5,5,1,5,1,5,5,2,1,5,1,1,5,5,1,4,2,4,5
40,4,5,5,1,5,1,5,5,1,1,4,1,1,5,5,2,4,1,5,5
40,5,2,3,4,4,2,5,4,2,2,4,2,4,4,3,4,3,2,5,3
