"","x","y","no","mark"
"1",186,257,10001,"left"
"2",153.74525,257,10001,"left"
"3",125.029305,263.9363,10001,"left"
"4",103.37321,269.57748,10001,"left"
"5",86.74524,275.54718,10001,"left"
"6",267,182,10002,"left"
"7",204.91,191.61652,10002,"left"
"8",169.58752,187.23523,10002,"left"
"9",141.5,184,10002,"left"
"10",126.29934,187.37793,10002,"left"
"11",158,100,10003,"error"
"12",135.70659,104.11677,10003,"error"
"13",128.2769,110.084656,10003,"error"
"14",123.90569,115.09431,10003,"error"
"15",122.615875,120.53651,10003,"error"
"16",123,122,10003,"error"
"17",140,87,10004,"error"
"18",171.17845,73.902664,10004,"error"
"19",158,163,10005,"error"
"20",138.75525,171.54079,10005,"error"
"21",131.728,172,10005,"error"
"22",126.20072,172,10005,"error"
"23",125.5,172,10005,"error"
"24",252,201,10006,"left"
"25",218.35266,214.65976,10006,"left"
"26",194.87627,222.46393,10006,"left"
"27",176.39316,227.1517,10006,"left"
"28",161.5,227.5,10006,"left"
"29",255,187,10007,"left"
"30",220.62512,187,10007,"left"
"31",191.77505,188.15312,10007,"left"
"32",166.10208,190.04988,10007,"left"
"33",141.8781,191.42438,10007,"left"
"34",139,192,10007,"left"
"35",169,180,10008,"right"
"36",198.67326,172.88449,10008,"right"
"37",220.76048,171.20247,10008,"right"
"38",245,171,10008,"right"
"39",272.11667,172,10008,"right"
"40",299.2473,172,10008,"right"
"41",314.50735,169.49918,10008,"right"
"42",206,165,10009,"left"
"43",185,165,10009,"left"
"44",158.83255,169.86697,10009,"left"
"45",132.44943,174.22823,10009,"left"
"46",104.19867,181.5298,10009,"left"
"47",84.51802,189.59279,10009,"left"
"48",71.5,193,10009,"left"
"49",298,186,10010,"left"
"50",274.43777,186,10010,"left"
"51",252.36778,179.70277,10010,"left"
"52",226.58511,174.67221,10010,"left"
"53",204.78304,172,10010,"left"
"54",181.03604,173.5952,10010,"left"
"55",163.8068,175.41933,10010,"left"
"56",153.4067,176,10010,"left"
"57",150.0814,170.16281,10010,"left"
"58",267,206,10011,"left"
"59",248,212,10011,"left"
"60",218.05766,219.42476,10011,"left"
"61",187.34023,224.24896,10011,"left"
"62",153.22188,231.5186,10011,"left"
"63",111.14206,240.17159,10011,"left"
"64",101.338264,246.83087,10011,"left"
"65",99,248,10011,"left"
"66",279,186,10012,"left"
"67",238.91351,195.76416,10012,"left"
"68",206.50626,199.84938,10012,"left"
"69",173.37471,199.06874,10012,"left"
"70",139.937,197.49686,10012,"left"
"71",112.633705,197,10012,"left"
"72",91.3122,197.60799,10012,"left"
"73",87,198,10012,"left"
"74",142,169,10013,"right"
"75",180.29012,166.96776,10013,"right"
"76",220.8856,172.1306,10013,"right"
"77",276.77286,174.16519,10013,"right"
"78",342,166.5,10013,"right"
"79",111,176,10014,"right"
"80",140.06664,168,10014,"right"
"81",171.5,171,10014,"right"
"82",209.09868,173.53185,10014,"right"
"83",262.66763,177,10014,"right"
"84",328.62924,167.02295,10014,"right"
