"","stX","stY","angle","disALL","travelDIS","travelANG","Dur","meanCur","meanCur2","sdCur","sdCur2","S","mark","noperson","noslide"
"1",183,283,14.7745502750466,94.1116358374457,94.7923674337104,64.2699854149697,97,0.776544453035056,0.0395052209901356,0.473363341277579,0.0325583231888058,0.992818708776941,1,1,1
"2",266,201,13.3245312618908,195.256241897666,199.908486747075,59.6508725979156,128,0.322670222002163,0.0140090345432634,0.692657284938457,0.0366011049545906,0.976728127329106,1,1,2
"4",211,195,6.25743429814621,114.683259458388,116.54546690775,34.2205374988826,107,0.318015405622294,0.0147322475298961,0.520110661177821,0.023768866606043,0.984021622644181,1,1,4
"5",297,217,10.0079798014413,120.838735511424,121.586973411924,47.103306341552,106,0.785192288760482,0.0824667812805462,1.0412472805523,0.149829026658782,0.993846068542521,1,1,5
"8",248,210,-0.731395753097544,117.50957407803,117.862868589128,-0.358491929089154,99,0.0172231854406302,0.00124781205745903,0.166114654295536,0.00575180983186488,0.997002495227483,1,1,8
"9",232,235,21.0375110254218,97.4987179402888,100.733823143204,111.61564180937,106,1.96936174046165,0.269793989500479,2.93929710066233,0.545072798638681,0.96788461807594,1,1,9
"10",252,189,26.565051177078,158.760826402485,167.280771421674,130.24578939794,106,1.4736696290534,0.13963545428333,2.16190259685002,0.281119749722866,0.949067995402103,1,1,10
"13",269,180,-11.7529322506641,76.095334942426,76.4056108988475,-38.8941039254216,97,-0.549821613864197,-0.0427163869720502,0.196924489760536,0.0432273642266276,0.995939094619212,1,1,13
"14",292,172,16.9518942454469,97.7471227198018,100.133688834865,104.180075317348,106,1.37566926550496,0.0965838218945196,1.41949845483108,0.123570758617326,0.976166201976246,1,1,14
"17",249,190,2.95174751497555,97.0969427754263,97.2001132107032,10.6914362630808,98,0.102911375152289,0.00406999355773773,0.13310569992461,0.0055348454237396,0.998938577005015,1,1,17
"18",300,197,12.112622925985,111.993303371228,113.218413476785,71.8542163777748,117,0.774155877586107,0.0428331190335697,0.523310376351765,0.0348496187760922,0.989179232706635,1,1,18
"21",237,188,9.30477234064332,89.6799866190891,90.1860691610558,47.105834718435,99,0.565605303820482,0.0367825924287009,0.450993583915899,0.0389401616192626,0.994388462135289,1,1,21
"22",253,208,-9.18391925084435,169.168554997671,170.612461242385,-63.4452567930763,139,-5.28918654264741,-45.0457270528929,12.9576444666512,119.136947926398,0.991536923890554,1,2,1
"23",295,149,-3.49705973929825,180.335797888273,181.272745982304,-21.9785676652181,138,-0.108972031077209,-0.00378463643188459,0.24294695874965,0.00934546175504732,0.994831279854268,1,2,2
"24",314,132,-1.39040126404402,206.060670677352,210.466977430862,-39.7102204145127,137,-3.312482981212,-1.92217726081649,9.24146043416076,5.13432819984708,0.979064141998438,1,2,3
"27",312,163,-10.876246883131,233.188764737926,233.829982378359,-63.9559233484915,127,-0.28634671163396,-0.0112231753644265,0.304698864913901,0.0182747183088666,0.99725776124212,1,2,6
"28",316,151,0,212,213.12469518897,-32.4457211784917,127,-1.26346459037186,-0.291522693550052,3.03159298239221,0.710464725915104,0.994722830275616,1,2,7
"31",300,160,-0.662349447372199,173.011560307397,173.112606945041,-12.8668416202615,116,-0.376726871422521,-0.0726911190130013,0.902224119809452,0.177493700564109,0.999416295326912,1,2,10
"32",255,132,-4.08561677997488,105.267516357137,105.358141886885,-10.7598270750883,54,-0.092953250204422,-0.00249627532689828,0.0823539247930218,0.00244634992113196,0.999139833636726,1,2,11
"33",295,202,11.0171116187892,115.121674761967,117.34394089947,53.2236545660744,95,1.14972495018011,0.252018924541965,2.15503603405653,0.555539677495072,0.981061943885051,1,3,1
"34",281,178,4.74905797545947,134.049229255049,134.306619819638,18.2150409244031,76,0.130680914108127,0.00376764708352945,0.122448741495559,0.00362464006203197,0.998083560103483,1,3,2
"37",323,173,9.97849106070256,191.447561877574,195.813179592098,39.1850023976813,100,0.151781327642774,0.00239751488532238,0.438877831981318,0.0138908145264175,0.977705189591337,1,3,5
"38",286,193,12.0545777150759,248.990461664699,258.384836300098,40.9469437010523,117,0.0158272550391282,-0.00460915781288119,0.549921074381702,0.020163812411115,0.963641927405955,1,3,6
"39",300,168,32.9845815930444,213.991822273656,219.431756730858,275.362986540683,169,1.52156287461235,0.0749820061297374,0.972226893485016,0.0698621080161401,0.975208991905972,1,3,7
"40",268,156,12.3205199497982,239.822991288059,241.509435350707,77.7495308953844,137,0.375941949718779,0.0118084988426941,0.277531501471236,0.00973349148102498,0.993017067593245,1,4,1
"41",312,151,22.4916062289603,258.904553306639,260.61981194468,89.6411636036452,104,0.372357625766334,0.00665241982165891,0.179590302876765,0.00414437206629955,0.99341854088052,1,4,2
"42",322,162,18.532627449435,285.719877915539,289.512137981345,66.6753593922887,117,0.216360459952636,0.00291918520190999,0.19566377627783,0.00316235109836698,0.986901205275026,1,4,3
"47",227,217,10.2919507274774,198.69700551342,200.743367930834,61.1121324231443,99,0.666357003178412,0.0574787102909816,1.02246004917373,0.11618357457281,0.989806077089836,1,4,8
"48",315,200,6.29935370613048,154.935470438502,159.604953929164,18.4436030222308,137,0.133778956818006,0.0102730451292424,0.801487958726368,0.0469575002092181,0.970743492756908,1,4,9
"50",231,207,24.4341020991946,189.46767552254,193.640602054901,79.1566979726969,86,0.476462417155875,0.00917977923189663,0.4274471604286,0.010568564836509,0.978450146879949,1,4,11
"55",254,241,15.9255840830703,198.623387343988,201.287067152606,97.8125579551904,98,1.02600713488807,0.0768839065476597,1.39699488905202,0.141559339725001,0.986766761291234,1,4,16
"56",318,184,22.4757022593079,244.577697266124,246.106684252608,107.818179844453,105,0.475461968399515,0.0116359900189076,0.254708644674163,0.00933783804455515,0.993787300043772,1,4,17
"57",285,130,9.84582236785257,245.61758894672,246.100660510727,54.6009783991518,128,0.514095293636759,0.159611717697735,0.744294411431958,0.395300927374358,0.99803709765344,1,5,1
"58",302,160,10.8313056461141,199.555130227213,200.069241541193,47.21194585102,106,0.248712084186065,0.00844312962894157,0.122600202161208,0.00854974326660563,0.997430333068593,1,5,2
